,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT MediumA,AADT MediumB,AADT HeavyA,AADT HeavyB,GrowthFactor,GrowthFactor_medium,GrowthFactor_heavy,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,Min Speed,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Max VC,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,CaptureRateLights,CaptureRateMediumA,VOT Lights,VOT MediumA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay,TransactionsLightsLength,TransactionsMediumALength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,0,2025,1NB,1,NB,Night,8,OP,NT,3.0,65,14000,1,6,70,1800,1,6,0.2,0,1830.0,226.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,4.009,0.708,1830.0,226.0,0.0,0.0,0.0,2056.0,2508.0,1.0,1.2,0.1425,2508.0,0.0,1.0,0.0,1738.5,214.7,0.0,0.0,0.0,1953.1999999999998,3.9994658605698206,19.997329302849103,,0.0010431215896484726,0.000644268152107531,3092.163626082769,15460.818130413843,64.99786312204093,70.0,0.0,2.5714285714285716,2.769321810811371,-0.19789323938279946,0.0001247269654241181,1.8134668836038697,1828.186533116396,0.1383243722574869,225.8616756277425,1.9517912558613566,2054.0482087441387,16432.38566995311,2.2284400003763305,0.0012380222224312948,17.827520003010644,53.48256000903193,2505.7715599996236,20046.17247999699,60138.51743999097,2508.0,20064.0,60192.0,0.17914285714285713,11.998397581709462,59.99198790854731,5.133242032314014,30.057050738671414,21.758696670742864,8.29835406792855,240.4564059093713,174.06957336594292,66.3868325434284,14.507735068830957,1.1065949780598952,15.614330046890853,43.523205206492875,3.3197849341796855,16448.0,-0.0714590982565582,1212.613186699125
1,1,2025,1NB,1,NB,AM-Early,1,OP,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0,3467.0,429.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,3.82,0.715,3467.0,429.0,0.0,0.0,0.0,3896.0,4754.0,1.0,1.2,0.2701136363636364,4754.0,0.0,1.0,0.0,3293.6499999999996,407.54999999999995,0.0,0.0,0.0,3701.2,3.999851775218982,19.99925887609491,,0.0019761996189403266,0.0012227421266827146,3029.5133548357653,15147.56677417883,64.90149670398647,69.99999999999946,1.6058549429579885,2.571428571428591,2.773433728669986,-0.20200515724139478,0.005758054431727084,6.508909874922806,3460.4910901250773,0.49832855372954027,428.50167144627045,7.007238428652347,3888.9927615713477,3888.9927615713477,8.003895536111427,0.004446608631173015,8.003895536111427,24.01168660833428,4745.9961044638885,4745.9961044638885,14237.988313391666,4754.0,4754.0,14262.0,0.3395714285714286,11.999555325656946,59.997776628284726,5.137669687694814,108.00262940801218,78.10402415385104,29.89860525416114,108.00262940801218,78.10402415385104,29.89860525416114,6.508909874922806,0.49832855372954027,7.007238428652347,19.526729624768418,1.4949856611886208,3896.0,-0.07283576137161474,1188.0444528767707
2,2,2025,1NB,1,NB,AM-Peak,2,Peak,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0,4855.0,600.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,3.82,0.715,4855.0,600.0,0.0,0.0,0.0,5455.0,6655.0,1.0,1.2,0.378125,6655.0,0.0,1.0,0.0,4612.25,570.0,0.0,0.0,0.0,5182.25,3.999984878735793,19.999924393678967,,0.002767354279623189,0.0017100220657994443,2668.94095910414,13344.7047955207,64.26890934121569,69.99999999996932,3.4914082420721417,2.5714285714296983,2.800732140082637,-0.22930356865293877,0.04315687806705863,12.763729776192053,4842.236270223808,0.9747125775056833,599.0252874224943,13.738442353697735,5441.261557646302,10882.523115292604,15.687867508709102,0.008715481949282835,31.375735017418204,94.12720505225461,6639.312132491291,13278.624264982582,39835.87279494775,6655.0,13310.0,39930.0,0.47535714285714287,11.999954636207379,59.9997731810369,5.135145756733565,211.64671187015884,153.164178303114,58.48253356704485,423.2934237403177,306.328356606228,116.9650671340897,25.527459552384105,1.9494251550113666,27.47688470739547,76.58237865715232,5.848275465034099,10910.0,-0.08187272369651638,1046.6435133741725
3,3,2025,1NB,1,NB,AM-Shoulder,1,OP,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0,4132.0,511.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,3.82,0.715,4132.0,511.0,0.0,0.0,0.0,4643.0,5665.0,1.0,1.2,0.321875,5665.0,0.0,1.0,0.0,3925.3999999999996,485.45,0.0,0.0,0.0,4410.849999999999,3.9999791316840305,19.99989565842015,,0.0023552321483070035,0.001456365032785102,2916.8736920311194,14584.368460155594,64.71930693060457,69.99999999999555,1.9080788482382323,2.571428571428735,2.78124115564163,-0.20981258421289484,0.016454229382878702,9.24522827496431,4122.754771725035,0.7069924051655277,510.2930075948345,9.952220680129837,4633.04777931987,4633.04777931987,11.366205490460892,0.006314558605811607,11.366205490460892,34.09861647138268,5653.633794509538,5653.633794509538,16960.901383528617,5664.999999999999,5664.999999999999,16995.0,0.4046428571428571,11.999937395052092,59.99968697526045,5.136591736172346,153.36148350635534,110.94216050253716,42.41932300381818,153.36148350635534,110.94216050253716,42.41932300381818,9.24522827496431,0.7069924051655277,9.952220680129837,27.735684824892928,2.120977215496583,4643.0,-0.07543847241987589,1143.872036090635
4,4,2025,1NB,1,NB,MD,5,OP,MD,3.0,65,14000,1,6,70,1800,1,6,0.2,0,5636.0,697.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,3.823,0.708,5636.0,697.0,0.0,0.0,0.0,6333.0,7727.0,1.0,1.2,0.4390340909090909,7727.0,0.0,1.0,0.0,5354.2,662.15,0.0,0.0,0.0,6016.349999999999,3.9999887831754575,19.99994391587729,,0.0032125266948038944,0.001986470590486591,2227.0147077223273,11135.073538611638,63.241436758662545,69.99999999981597,2.5856161424849717,2.5714285714353315,2.846235146220715,-0.2748065747853836,0.10549599647622597,17.20051042931901,5618.799489570681,1.3153415014906964,695.6846584985093,18.515851930809706,6314.48414806919,31572.42074034595,21.1465349337911,0.011748074963217277,105.7326746689555,317.1980240068665,7705.853465066209,38529.26732533104,115587.80197599312,7727.0,38635.0,115904.99999999999,0.5519285714285714,11.999966349526373,59.999831747631866,5.136604321400465,285.32581512662483,206.40554634650556,78.92026878011926,1426.629075633124,1032.0277317325279,394.6013439005963,86.00255214659505,6.576707507453482,92.57925965404853,258.00765643978514,19.730122522360446,31665.0,-0.09655090344530282,873.3391010675793
5,5,2025,1NB,1,NB,PM-Shoulder,1,OP,PM,3.0,65,14000,1,6,70,1800,1,6,0.2,0,7121.0,880.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,4.005,0.592,7121.0,880.0,0.0,0.0,0.0,8001.0,9761.0,1.0,1.2,0.5546022727272727,9761.0,0.0,1.0,0.0,6764.95,836.0,0.0,0.0,0.0,7600.95,3.9998237853922993,19.999118926961497,,0.004059101687971543,0.0025083575089041195,1201.46734175201,6007.336708760051,58.426699981736284,69.99999999695805,3.2450553955385297,2.5714285715403165,3.0807832729944793,-0.5093547014541628,0.4268269301562831,27.459619964043092,7093.540380035957,2.096986877443844,877.9030131225561,29.556606841486936,7971.443393158514,7971.443393158514,33.750580596374625,0.01875032255354146,33.750580596374625,101.25174178912388,9727.249419403626,9727.249419403626,29181.74825821088,9761.0,9761.0,29283.000000000004,0.6972142857142857,11.999471356176898,59.99735678088449,5.134944340338038,455.3145930608696,329.50092321003837,125.8136698508312,455.3145930608696,329.50092321003837,125.8136698508312,27.459619964043092,2.096986877443844,29.556606841486936,82.37885989212927,6.290960632331532,8001.0,-0.1653328573674957,471.16366343216083
6,6,2025,1NB,1,NB,PM-Peak,3,Peak,PM,3.0,65,14000,1,6,70,1800,1,6,0.2,0,6508.0,804.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,4.005,0.592,6508.0,804.0,0.0,0.0,0.0,7312.0,8920.0,1.0,1.2,0.5068181818181818,8920.0,0.0,1.0,0.0,6182.599999999999,763.8,0.0,0.0,0.0,6946.4,3.9997885463104894,19.998942731552447,,0.0037096191630173396,0.0022917108989404787,1612.2369576995548,8061.184788497773,60.99616267568458,69.99999999896797,4.6460286246727875,2.571428571466483,2.9510053108923677,-0.37957673942588466,0.24903112207638972,22.935091437271,6485.064908562729,1.7504087846107375,802.2495912153893,24.68550022188174,7287.314499778118,21861.943499334353,28.186317791103214,0.015659065439501785,84.55895337330963,253.6768601199289,8891.813682208896,26675.44104662669,80026.32313988007,8920.0,26760.0,80280.0,0.6371428571428571,11.999365638931469,59.99682819465734,5.134262621393842,380.2255232388504,275.20654811814103,105.01897512070938,1140.6765697165513,825.6196443544231,315.05692536212814,68.80527431181301,5.251226353832212,74.05650066564522,206.41582293543902,15.753679061496637,21936.0,-0.1286262474773733,632.2497873331587
7,7,2025,1NB,1,NB,PM-Late,3,OP,PM,3.0,65,14000,1,6,70,1800,1,6,0.2,0,5882.0,727.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,4.005,0.592,5882.0,727.0,0.0,0.0,0.0,6609.0,8063.0,1.0,1.2,0.458125,8063.0,0.0,1.0,0.0,5587.9,690.65,0.0,0.0,0.0,6278.549999999999,3.9997411216080225,19.99870560804011,,0.0033528055065247834,0.002072289258603624,2059.49659724295,10297.482986214749,62.749049778633754,69.99999999969305,2.695151355888662,2.5714285714398475,2.868569335073669,-0.2971407636338217,0.13609383520477247,18.735141889909837,5863.26485811009,1.4312265764545928,725.5687734235454,20.16636846636443,6588.8336315336355,19766.500894600907,23.028821619273614,0.012793789788485341,69.08646485782084,207.25939457346254,8039.971178380727,24119.91353514218,72359.74060542654,8063.000000000001,24189.0,72567.00000000001,0.5759285714285715,11.999223364824068,59.996116824120335,5.135203027251904,310.67518919145584,224.80715230870027,85.86803688275555,932.0255675743675,674.4214569261007,257.60411064826667,56.20542566972951,4.293679729363778,60.49910539909329,168.61627700918854,12.881039188091336,19827.0,-0.10358500315844402,807.645724409
8,8,2025,1SB,1,SB,Night,8,OP,NT,3.0,65,14000,1,6,70,1800,1,6,0.2,0,1785.0,221.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,4.009,0.708,1785.0,221.0,0.0,0.0,0.0,2006.0,2448.0,1.0,1.2,0.1390909090909091,2448.0,0.0,1.0,0.0,1695.75,209.95,0.0,0.0,0.0,1905.6999999999998,3.9994394673460634,19.997197336730316,,0.001017487033666756,0.0006300195075949304,3092.335436851924,15461.67718425962,64.9981518326134,70.0,0.0,2.5714285714285716,2.7693095099618414,-0.19788093853326982,0.0001078748015690044,1.7254036373404016,1783.2745963626596,0.13227259561955562,220.86772740438045,1.8576762329599572,2004.1423237670401,16033.138590136321,2.1222214241990685,0.0011790119023328159,16.977771393592548,50.93331418077764,2445.877778575801,19567.02222860641,58701.06668581923,2448.0,19584.0,58752.00000000001,0.17485714285714285,11.99831840203819,59.99159201019095,5.13853190979227,28.63718580338232,20.70194221284497,7.935243590537351,229.09748642705856,165.61553770275975,63.48194872429881,13.803229098723213,1.058180764956445,14.861409863679658,41.409687296169636,3.174542294869335,16048.0,-0.0714549738198084,1212.6805634713428
9,9,2025,1SB,1,SB,AM-Early,1,OP,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0,7354.0,909.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,3.82,0.715,7354.0,909.0,0.0,0.0,0.0,8263.0,10081.0,1.0,1.2,0.5727840909090909,10081.0,0.0,1.0,0.0,6986.299999999999,863.55,0.0,0.0,0.0,7849.849999999999,3.9999933561619474,19.999966780809736,,0.004196446318408716,0.0025957250598957968,1063.2041447864926,5316.020723932463,57.19649221805907,69.99999999548837,3.347872853515554,2.571428571594305,3.1470461390142255,-0.5756175674199207,0.517607056603335,29.317632914298805,7324.682367085701,2.241538375473015,906.758461624527,31.55917128977182,8231.440828710229,8231.440828710229,36.04224804071785,0.02002347113373214,36.04224804071785,108.12674412215355,10044.957751959282,10044.957751959282,30134.873255877847,10081.0,10081.0,30243.0,0.7200714285714286,11.999980068485842,59.99990034242921,5.1364159227937884,486.3030897688817,351.81101062677016,134.49207914211158,486.3030897688817,351.81101062677016,134.49207914211158,29.317632914298805,2.241538375473015,31.55917128977182,87.95289874289642,6.724615126419046,8263.0,-0.18290725397506435,416.9428018770559
