,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT MediumA,AADT MediumB,AADT HeavyA,AADT HeavyB,GrowthFactor,GrowthFactor_medium,GrowthFactor_heavy,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,Min Speed,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Max VC,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,CaptureRateLights,CaptureRateMediumA,CaptureRateMediumB,VOT Lights,VOT MediumA,VOT MediumB,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh_MediumB,GPVeh_MediumB,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollMediumBPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerHourMediumB,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,RevenuePerDayMediumB,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay_MediumB,TransactionsDay,TransactionsLightsLength,TransactionsMediumALength,TransactionsMediumBLength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,0,2025,1NB,1,NB,Night,8,OP,NT,3.0,65,8400.0,1,6,70,1800,1,6,0.2,0.052631578947368425,929.0,115.0,0.0,0.0,0.0,1.0,1.0,1.0,1.2059999999999997,1.2059999999999997,0.15789473684210525,0.15789473684210525,30,4.009,0.708,929.0,115.0,0.0,0.0,0.0,1044.0,1274.0,1.0,1.2,0.10616666666666667,1274.0,0.0,1.0,0.0,882.55,109.25,0.0,0.0,0.0,991.8,0.20000172280915116,0.8000068912366046,1.0000086140457558,0.07245270736698813,0.07243934649788747,0.0724262397782139,154.66064203566782,618.6425681426713,773.3032101783392,64.99948425617923,69.99999906455388,0.0,2.571428605791899,2.76925274192292,-0.1978241361310209,3.0102588246116657e-05,63.94313688673537,865.0568631132646,7.913998604894206,107.0860013951058,0.0,0.0,71.85713549162958,972.1428645083704,7777.142916066963,87.68513270141798,0.04871396261189888,701.4810616113439,2104.443184834032,1186.3148672985822,9490.518938388657,28471.55681516597,1274.0000000000002,10192.000000000002,30576.000000000004,0.1516666666666667,0.6000051684274534,2.4000206737098138,3.0000258421372674,0.2660834004793849,57.359972880962076,38.36621261750536,18.993760263456718,0.0,458.8797830476966,306.9297009400429,151.95008210765374,0.0,511.54509509388294,63.31198883915365,0.0,574.8570839330366,1534.6352852816487,189.93596651746094,0.0,8352.0,-0.07143592678855862,60.66046137363785
1,1,2025,1NB,1,NB,AM-Early,1,OP,AM,3.0,65,13041.800003999999,1,6,70,1800,1,6,0.2,0.0,2203.0,272.0,0.0,0.0,0.0,1.0,1.0,1.0,4.02,2.01,0.15957775013766984,0.15957775013766984,30,3.82,0.715,2203.0,272.0,0.0,0.0,0.0,2475.0,3019.0,1.0,1.2,0.18141066466814634,3019.0,0.0,1.0,0.0,2092.85,258.4,0.0,0.0,0.0,2351.25,2.0059146642401147,8.023658656960459,10.029573321200573,0.0006316529878869522,0.00031474205818904675,3.174082748208139e-05,1543.7181888886446,6174.872755554578,7718.590944443222,64.99003107668254,70.0,0.0,2.5714285714285716,2.7696555459038907,-0.19822697447531912,0.0005819440421759196,1.3219549556992078,2201.6780450443007,0.08132934783604967,271.91867065216394,0.0,0.0,1.4032843035352576,2473.596715696465,2473.596715696465,1.5659429992073568,0.000869968332892976,1.5659429992073568,4.697828997622071,3017.4340570007926,3017.4340570007926,9052.302171002379,3019.0,3019.0,9057.0,0.23148645118573008,6.017743992720344,24.070975970881378,30.08871996360172,2.3546816198308456,9.912863270794801,7.955186493305797,1.957676777489005,0.0,9.912863270794801,7.955186493305797,1.957676777489005,0.0,1.3219549556992078,0.08132934783604967,0.0,1.4032843035352576,3.9658648670976238,0.243988043508149,0.0,2475.0,-0.0715709846188208,607.1569228808062
2,2,2025,1NB,1,NB,AM-Peak,2,Peak,AM,3.0,65,15600.0,1,6,70,1800,1,6,0.2,0.0,3492.0,432.0,0.0,0.0,0.0,1.0,1.0,1.0,4.02,2.01,0.13611615245009073,0.13611615245009073,30,3.82,0.715,3492.0,432.0,0.0,0.0,0.0,3924.0,4788.0,1.0,1.2,0.249375,4788.0,0.0,1.0,0.0,3317.3999999999996,410.4,0.0,0.0,0.0,3727.7999999999997,0.24995761773411224,0.999830470936449,1.2497880886705612,0.02472459096287709,0.022124778645688042,0.023447883885250497,188.7833855428893,755.1335421715572,943.9169277144466,64.95272598461833,69.99999649842681,0.0,2.571428700057797,2.7712462759858054,-0.1998175759280083,0.00276124425439969,82.02135806024846,3409.9786419397515,9.080009156190371,422.9199908438096,0.0,0.0,91.10136721643883,3832.898632783561,7665.797265567122,109.26138552881957,0.060700769738233094,218.52277105763915,655.5683131729174,4678.73861447118,9357.47722894236,28072.43168682708,4788.0,9576.0,28727.999999999996,0.3069230769230769,0.7498728532023367,2.9994914128093466,3.7493642660116837,0.3246969172758999,88.74099928439225,61.50558979216898,27.23540949222326,0.0,177.4819985687845,123.01117958433797,54.47081898444652,0.0,164.04271612049692,18.160018312380743,0.0,182.20273443287766,492.12814836149073,54.48005493714223,0.0,7848.0,-0.07210386808979218,75.05574519355658
3,3,2025,1NB,1,NB,AM-Shoulder,1,OP,AM,3.0,65,15600.0,1,6,70,1800,1,6,0.2,0.0,4350.0,538.0,0.0,0.0,0.0,1.0,1.0,1.0,4.02,2.01,0.13611615245009073,0.13611615245009073,30,3.82,0.715,4350.0,538.0,0.0,0.0,0.0,4888.0,5964.0,1.0,1.2,0.310625,5964.0,0.0,1.0,0.0,4132.5,511.09999999999997,0.0,0.0,0.0,4643.599999999999,2.0099603791107077,8.03984151644283,10.04980189555354,0.13611614619027562,0.1361161466661713,0.13611614666874983,-1147.713673175674,-4590.854692702696,-5738.568365878371,64.91169577196435,69.56966153134077,-0.4587691274484186,2.5873347093820622,2.7729979606809594,-0.18566325129889716,0.0051610522867605564,562.499974131314,3787.500025868686,69.56896256108016,468.4310374389198,0.0,0.0,632.0689366923942,4255.931063307606,4255.931063307606,771.2068618145545,0.4284482565636414,771.2068618145545,2313.6205854436635,5192.793138185445,5192.793138185445,15578.379414556335,5964.0,5964.0,17892.0,0.3823076923076923,6.029881137332123,24.119524549328492,30.149405686660618,2.6736420611848484,5069.778284127506,3391.8079837642176,1677.9703003632876,0.0,5069.778284127506,3391.8079837642176,1677.9703003632876,0.0,562.499974131314,69.56896256108016,0.0,632.0689366923942,1687.4999223939421,208.70688768324047,0.0,4888.0,-0.06695398046859877,649.5503116688058
4,4,2025,1NB,1,NB,MD,5,OP,MD,3.0,65,15600.0,1,6,70,1800,1,6,0.2,0.0,5817.0,719.0,0.0,0.0,0.0,1.0,1.0,1.0,4.02,2.01,0.13611615245009073,0.13611615245009073,30,3.823,0.708,5817.0,719.0,0.0,0.0,0.0,6536.0,7974.0,1.0,1.2,0.4153125,7974.0,0.0,1.0,0.0,5526.15,683.05,0.0,0.0,0.0,6209.2,1.6298314180285733,6.519325672114293,8.149157090142866,0.04758505730440934,0.047511894814820474,0.047203356294760405,149.48535177581428,597.9414071032571,747.4267588790714,64.13323202587668,69.99549625601746,1.3818139746877973,2.57159402573027,2.8066572401555097,-0.23506321442523959,0.051274265166894505,262.96216442276165,5554.037835577238,32.45299975326312,686.5470002467368,0.0,0.0,295.41516417602475,6240.584835823975,31202.924179119873,360.321163682551,0.20017842426808388,1801.605818412755,5404.817455238265,7613.678836317449,38068.394181587246,114205.18254476174,7974.0,39870.0,119610.00000000001,0.5111538461538462,4.8894942540857205,19.557977016342882,24.4474712704286,2.166969571596329,1920.467015272739,1285.7519919870376,634.7150232857014,0.0,9602.335076363695,6428.759959935188,3173.5751164285066,0.0,1314.8108221138082,162.2649987663156,0.0,1477.0758208801237,3944.4324663414245,486.79499629894684,0.0,32680.0,-0.08375202039712386,416.01526347209835
5,5,2025,1NB,1,NB,PM-Shoulder,1,OP,PM,3.0,65,11442.422112,1,6,70,1800,1,6,0.2,0.0,6929.0,856.0,0.0,0.0,0.0,1.0,1.0,1.0,4.02,2.01,0.17885104647777134,0.17885104647777134,30,4.005,0.592,6929.0,856.0,0.0,0.0,0.0,7785.0,9497.0,1.0,1.2,0.6313477928812958,9497.0,0.0,1.0,0.0,6582.549999999999,813.1999999999999,0.0,0.0,0.0,7395.75,4.019995632853885,16.07998253141554,20.099978164269423,0.17885104573676966,0.17885104520890216,0.17885104494059784,-429.8499897423351,-1719.3999589693403,-2149.249948711675,58.72009061161275,46.08270379046108,-0.9959779150682752,3.9060208102906326,3.0653903651232173,0.8406304451674154,0.4057386463726537,1177.295951114573,5751.704048885427,145.44166996387924,710.5583300361208,0.0,0.0,1322.7376210784523,6462.262378921548,6462.262378921548,1613.6209610062106,0.8964560894478948,1613.6209610062106,4840.862883018632,7883.379038993789,7883.379038993789,23650.13711698137,9497.0,9497.0,28491.0,0.8299816163957298,12.059986898561654,48.239947594246615,60.29993449280827,5.34605199226946,21214.272283248676,14198.173746171431,7016.098537077246,0.0,21214.272283248676,14198.173746171431,7016.098537077246,0.0,1177.295951114573,145.44166996387924,0.0,1322.7376210784523,3531.887853343719,436.3250098916377,0.0,7785.0,0.27423275506172773,-286.9271977452554
6,6,2025,1NB,1,NB,PM-Peak,3,Peak,PM,3.0,65,8400.0,1,6,70,1800,1,6,0.2,0.0,6758.0,835.0,0.0,0.0,0.0,1.0,1.0,1.0,4.02,2.01,0.2321981424148607,0.2321981424148607,30,4.005,0.592,6758.0,835.0,0.0,0.0,0.0,7593.0,9263.0,1.0,1.2,0.7719166666666667,9263.0,0.0,1.0,0.0,6420.099999999999,793.25,0.0,0.0,0.0,7213.349999999999,4.019986356980126,16.079945427920503,20.09993178490063,0.2321981355813164,0.23219813581055743,0.23219813768054615,-130.13234946303484,-520.5293978521394,-650.6617473151742,46.32528046424048,22.294561552765025,-2.067633627081346,8.07371786944498,3.885567409331629,4.188150460113351,1.529381196938178,1490.7352502456094,5267.26474975439,184.19117123172467,650.8088287682754,0.0,0.0,1674.926421477334,5918.073578522666,17754.220735568,2043.3087639407836,1.1351715355226575,6129.92629182235,18389.77887546705,7219.691236059216,21659.073708177646,64977.22112453294,9263.0,27788.999999999996,83366.99999999999,1.1027380952380952,12.059959070940376,48.239836283761505,60.299795354701885,5.346216547034614,26863.558048702787,17978.206103570108,8885.35194513268,0.0,80590.67414610836,53934.61831071033,26656.055835398038,0.0,4472.205750736828,552.573513695174,0.0,5024.7792644320025,13416.617252210484,1657.7205410855222,0.0,22779.0,1.0778735816177156,-57.59085871339005
7,7,2025,1NB,1,NB,PM-Late,3,OP,PM,3.0,65,8400.0,1,6,70,1800,1,6,0.2,0.0,5257.0,650.0,0.0,0.0,0.0,1.0,1.0,1.0,4.02,2.01,0.2321981424148607,0.2321981424148607,30,4.005,0.592,5257.0,650.0,0.0,0.0,0.0,5907.0,7207.0,1.0,1.2,0.6005833333333334,7207.0,0.0,1.0,0.0,4994.15,617.5,0.0,0.0,0.0,5611.65,4.019996064814585,16.07998425925834,20.099980324072924,0.23219814127984845,0.23219814129402636,0.23219814072891767,-419.7102584113769,-1678.8410336455077,-2098.5512920568844,59.66456718561904,47.468444756823075,-1.0295714034931354,3.7919927843038708,3.016865930494597,0.7751268538092737,0.3392601709314439,1159.632347272755,4097.3676527272455,143.38235224906128,506.6176477509387,0.0,0.0,1303.0146995218163,4603.985300478184,13811.955901434554,1589.7794040199387,0.8832107800110771,4769.338212059816,14308.014636179449,5617.220595980061,16851.661787940182,50554.985363820546,7207.0,21621.0,64862.99999999999,0.8579761904761904,12.059988194443754,48.23995277777502,60.29994097221877,5.347064344282067,20901.91031966554,13985.152418004523,6916.75790166102,0.0,62705.730958996624,41955.45725401357,20750.27370498306,0.0,3478.897041818265,430.14705674718385,0.0,3909.0440985654486,10436.691125454794,1290.4411702415516,0.0,17721.0,0.256931156924894,-311.17456801235306
8,8,2025,1SB,1,SB,Night,8,OP,NT,3.0,65,8400.0,1,6,70,1800,1,6,0.2,0.052631578947368425,1025.0,127.0,0.0,0.0,0.0,1.0,1.0,1.0,1.2059999999999997,1.2059999999999997,0.15789473684210525,0.15789473684210525,30,4.009,0.708,1025.0,127.0,0.0,0.0,0.0,1152.0,1406.0,1.0,1.2,0.11716666666666667,1406.0,0.0,1.0,0.0,973.75,120.64999999999999,0.0,0.0,0.0,1094.3999999999999,0.20000781850292826,0.800031274011713,1.0000390925146414,0.07249079692490117,0.07247607321717044,0.07246160143527669,154.6325608864434,618.5302435457736,773.1628044322172,64.99906840673964,69.99999830460703,0.0,2.5714286337083148,2.7692704589799337,-0.19784182527161898,5.437495635526556e-05,70.58791350562251,954.4120864943775,8.744238233651613,118.25576176634839,0.0,0.0,79.33215173927412,1072.6678482607258,8581.342786085806,96.82062820657734,0.05378923789254297,774.5650256526187,2323.695076957856,1309.1793717934227,10473.434974347381,31420.304923042146,1406.0,11248.0,33744.0,0.16738095238095238,0.6000234555087848,2.400093822035139,3.000117277543924,0.26614428304748217,63.34139594178953,42.35440377879883,20.986992162990692,0.0,506.7311675343162,338.83523023039066,167.89593730392554,0.0,564.7033080449801,69.9539058692129,0.0,634.657213914193,1694.1099241349402,209.8617176076387,0.0,9216.0,-0.0714418574141344,60.65688634695992
9,9,2025,1SB,1,SB,AM-Early,1,OP,AM,3.0,65,15600.0,1,6,70,1800,1,6,0.2,0.0,4653.0,575.0,0.0,0.0,0.0,1.0,1.0,1.0,4.02,2.01,0.13611615245009073,0.13611615245009073,30,3.82,0.715,4653.0,575.0,0.0,0.0,0.0,5228.0,6378.0,1.0,1.2,0.3321875,6378.0,0.0,1.0,0.0,4420.349999999999,546.25,0.0,0.0,0.0,4966.599999999999,1.3014091099247072,5.205636439698829,6.507045549623536,0.04774204325006773,0.04769356955899785,0.04749553878467134,150.47408381510246,601.8963352604098,752.3704190755122,64.77100515481473,69.9987960883542,1.1022936449372212,2.5714727975149683,2.7790212544913664,-0.20754845697639812,0.013412964807018257,211.03654088043686,4441.963459119563,26.052612371602578,548.9473876283975,0.0,0.0,237.08915325203944,4990.91084674796,4990.91084674796,289.1943779952446,0.16066354333069147,289.1943779952446,867.5831339857339,6088.805622004755,6088.805622004755,18266.416866014264,6377.999999999999,6377.999999999999,19133.999999999996,0.4088461538461538,3.9042273297741215,15.616909319096486,19.52113664887061,1.7304262953928797,1230.795915419284,823.9346304863952,406.8612849328887,0.0,1230.795915419284,823.9346304863952,406.8612849328887,0.0,211.03654088043686,26.052612371602578,0.0,237.08915325203944,633.1096226413106,78.15783711480773,0.0,5228.0,-0.07468401209273404,376.2232094279651
