Period,1NB,1SB,2NB,2SB,3NB,3SB,4NB,4SB,5NB,5SB,6NB,6SB,7NB,7SB
AM-Early,0.7049020529172674,1.1665547373426883,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999997,0.7911362173593661,1.0,0.6861351158587725,0.9999999999999998,1.253014450822618,0.6610326182236892,1.0887596064860765
AM-Peak,1.0671705271096006,1.090059173847024,0.9999999999999999,1.0,1.6882287846897779,1.0,1.5583220829244306,0.9999999999999999,1.6256121828200754,0.7839797765737705,1.5871695596774804,0.9970289597789223,1.0,1.627954840174419
AM-Shoulder,1.2277858331604525,1.1906590738877032,1.0000000000000002,1.0,1.9299892511556604,1.0,1.781471274065765,0.9431316092739863,1.5277582330025614,0.6452796470469947,1.491735075652158,1.1656448527712662,1.0,1.5792198863602804
MD,1.6301150774888755,1.9034681838181788,0.9956325379853098,0.9774939559777496,1.0816383354735386,1.0575519512828297,1.2625568641169875,0.9340999667049159,2.0941820579077866,2.0585621448560816,1.199532980001615,2.010172829012256,1.510005882805094,1.5609874834262678
Night,0.7139750496379849,0.5218136319120235,1.0268771160319532,0.8240142149943768,1.0680545626875164,0.8570492286954499,0.9856996693763902,0.791677124117974,0.7335685867157732,0.6781224956447229,0.7157586301899207,0.6623287606123632,0.4553780258874304,0.43161541542840887
PM-Late,1.0000000000000002,1.167485301108916,1.0,1.6245782230798227,1.0,1.6899037994689872,1.0,1.55999709770364,1.6842170208975973,1.5175427107688646,1.6449679091576055,1.4817883829509269,1.3721827421427695,1.0
PM-Peak,0.8077343282327251,1.593497393287827,0.8578809356820006,1.7859379801436563,0.9636495524329284,1.0,0.9999999999999999,1.0,0.9999999999999998,1.8269655026368832,1.0,1.7834151183774396,1.0,1.23807520966131
PM-Shoulder,0.9044120923860317,1.2391387111084267,0.9999999999999999,0.8859292682044794,1.0,0.8830585388889298,1.0,0.8442057950489641,1.8702470573638603,1.7059922130273188,1.0,1.6662054422223957,1.547421193091481,1.2895752672379528
