,SegmentMapped,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054
0,S1,0,0.0243,0.0243,0.0243,0.0243,0.028,0.028,0.028,0.028,0.028,0.0273,0.0273,0.0273,0.0273,0.0273,0.0267,0.0267,0.0267,0.0267,0.0267,0.0248,0.0248,0.0248,0.0248,0.0248,0.0249,0.0249,0.0249,0.0249,0.0249
1,S2,0,0.0236,0.0236,0.0236,0.0236,0.0276,0.0276,0.0276,0.0276,0.0276,0.0267,0.0267,0.0267,0.0267,0.0267,0.0262,0.0262,0.0262,0.0262,0.0262,0.0245,0.0245,0.0245,0.0245,0.0245,0.0248,0.0248,0.0248,0.0248,0.0248
2,S3,0,0.0226,0.0226,0.0226,0.0226,0.0271,0.0271,0.0271,0.0271,0.0271,0.026,0.026,0.026,0.026,0.026,0.0254,0.0254,0.0254,0.0254,0.0254,0.024,0.024,0.024,0.024,0.024,0.0244,0.0244,0.0244,0.0244,0.0244
3,S4,0,0.0217,0.0217,0.0217,0.0217,0.0265,0.0265,0.0265,0.0265,0.0265,0.0253,0.0253,0.0253,0.0253,0.0253,0.0247,0.0247,0.0247,0.0247,0.0247,0.0233,0.0233,0.0233,0.0233,0.0233,0.024,0.024,0.024,0.024,0.024
4,S5,0,0.021,0.021,0.021,0.021,0.0261,0.0261,0.0261,0.0261,0.0261,0.0247,0.0247,0.0247,0.0247,0.0247,0.0241,0.0241,0.0241,0.0241,0.0241,0.0229,0.0229,0.0229,0.0229,0.0229,0.0236,0.0236,0.0236,0.0236,0.0236
5,S6,0,0.0199,0.0199,0.0199,0.0199,0.0255,0.0255,0.0255,0.0255,0.0255,0.0239,0.0239,0.0239,0.0239,0.0239,0.0232,0.0232,0.0232,0.0232,0.0232,0.0219,0.0219,0.0219,0.0219,0.0219,0.0231,0.0231,0.0231,0.0231,0.0231
6,S7,0,0.0197,0.0197,0.0197,0.0197,0.0254,0.0254,0.0254,0.0254,0.0254,0.0238,0.0238,0.0238,0.0238,0.0238,0.0231,0.0231,0.0231,0.0231,0.0231,0.0218,0.0218,0.0218,0.0218,0.0218,0.023,0.023,0.023,0.023,0.023
7,S8,0,0.0196,0.0196,0.0196,0.0196,0.0253,0.0253,0.0253,0.0253,0.0253,0.0238,0.0238,0.0238,0.0238,0.0238,0.0231,0.0231,0.0231,0.0231,0.0231,0.0218,0.0218,0.0218,0.0218,0.0218,0.0229,0.0229,0.0229,0.0229,0.0229
8,S9,0,0.0195,0.0195,0.0195,0.0195,0.0252,0.0252,0.0252,0.0252,0.0252,0.0238,0.0238,0.0238,0.0238,0.0238,0.0231,0.0231,0.0231,0.0231,0.0231,0.0218,0.0218,0.0218,0.0218,0.0218,0.0228,0.0228,0.0228,0.0228,0.0228
9,S10,0,0.025,0.025,0.025,0.025,0.0285,0.0285,0.0285,0.0285,0.0285,0.028,0.028,0.028,0.028,0.028,0.0273,0.0273,0.0273,0.0273,0.0273,0.0252,0.0252,0.0252,0.0252,0.0252,0.0249,0.0249,0.0249,0.0249,0.0249
10,S11,0,0.0251,0.0251,0.0251,0.0251,0.0285,0.0285,0.0285,0.0285,0.0285,0.028,0.028,0.028,0.028,0.028,0.0272,0.0272,0.0272,0.0272,0.0272,0.0249,0.0249,0.0249,0.0249,0.0249,0.0248,0.0248,0.0248,0.0248,0.0248
11,S12,0,0.022,0.022,0.022,0.022,0.0267,0.0267,0.0267,0.0267,0.0267,0.0257,0.0257,0.0257,0.0257,0.0257,0.0253,0.0253,0.0253,0.0253,0.0253,0.024,0.024,0.024,0.024,0.024,0.0242,0.0242,0.0242,0.0242,0.0242
12,S13,0,0.022,0.022,0.022,0.022,0.0266,0.0266,0.0266,0.0266,0.0266,0.0254,0.0254,0.0254,0.0254,0.0254,0.0252,0.0252,0.0252,0.0252,0.0252,0.0241,0.0241,0.0241,0.0241,0.0241,0.0242,0.0242,0.0242,0.0242,0.0242
