Period,NB,SB
Night,0.107070561,0.134223639
AM-Early,0.154130142,0.723063505
AM-Peak,0.152579241,1.121625976
AM-Shoulder,0.158785562,0.621465242
MD,0.37750232,0.171338014
PM-Shoulder,1.290270372,0.169862832
PM-Peak,1.093046422,0.193009261
PM-Late,0.170362894,0.148833149
