,Year,Total Revenue,Var Total Revenue (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll/AADT/mi Lights,Var Toll/AADT/mi Lights (%),Capture,Var Capture (%),GP Traffic,Var GP Traffic (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,1334618892.980553,,118836989.02867,,44505.274701,,3.159945,,2.191248,,0.233612,,146004.457256,,232619.680257,
1,2026.0,1442648752.502217,0.08094435054819682,122933803.436995,0.03447423602542332,46005.65494,0.03371241384487589,3.304328,0.04569161805031419,2.301462,0.050297364789380294,0.233879,0.0011429207403730324,150700.91166,0.032166513901458416,239596.033041,0.029990380763538438
2,2026.9999999999995,1559423018.842681,0.0809443505482006,127171852.392183,0.034474236025407334,47556.616617,0.03371241381136181,3.455308,0.045691589939013344,2.417219,0.050297158936362996,0.234147,0.001145891679030564,155548.43463,0.032166513902295524,246781.609302,0.029990380766322655
3,2027.999999999999,1685649502.33281,0.0809443505481966,131556004.847341,0.03447423602541999,49159.864957,0.033712413835320865,3.613187,0.045691729941296,2.538798,0.05029705624521408,0.234416,0.0011488509355235266,160551.885516,0.032166513908684635,254182.683731,0.02999038076594651
4,2029.0,1822093306.55103,0.0809443505481966,136091297.609009,0.034474236025415994,50817.162668,0.033712413824765974,3.778279,0.045691518318869084,2.666493,0.05029742421413608,0.234684,0.0011432666712170025,165716.279973,0.03216651389924241,261805.7192,0.029990380765148483
5,2030.0,1969581465.88802,0.08094435054819704,140782941.123788,0.034474236025422655,52530.331886,0.033712413839247946,3.950914,0.04569143782129381,2.80061,0.05029715060193296,0.234953,0.0011462221540454731,171046.794997,0.032166513904780425,269657.372405,0.029990380763996516
6,2031.0000000000007,2129007958.496098,0.08094435054820015,145636325.464441,0.03447423602541089,54301.256173,0.03371241382680035,4.131438,0.04569170576732384,2.941473,0.05029725666908269,0.235223,0.0011491660034135265,176548.774106,0.03216651390104386,277744.49968,0.029990380766797387
7,2032.0000000000005,2301339125.008508,0.08094435054819726,150657026.522377,0.03447423602541999,56131.882592,0.03371241381907919,4.320209,0.04569135492291054,3.089421,0.05029724903135291,0.235492,0.0011435956517857893,182227.732703,0.032166513903916005,286074.16298,0.029990380762164204
8,2033.0000000000007,2410599264.133419,0.04747676600010298,153428698.954344,0.018397233079303632,57148.203683,0.018105950559100803,4.444841,0.02884860431520786,3.182092,0.0299962355405754,0.235961,0.001991575085353192,185043.8319,0.015453735582551253,290495.61399,0.015455611104275402
9,2034.0000000000002,2525046721.316712,0.047476766000107196,156251362.490062,0.01839723307930763,58182.926233,0.018105950551649652,4.573068,0.028848500992498805,3.277544,0.029996618576709766,0.236431,0.0019918545861392634,187903.45035,0.01545373558598473,294985.401226,0.015455611099706834
