,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT MediumA,AADT MediumB,AADT HeavyA,AADT HeavyB,GrowthFactor,GrowthFactor_medium,GrowthFactor_heavy,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,Min Speed,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Max VC,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,CaptureRateLights,CaptureRateMediumA,VOT Lights,VOT MediumA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay,TransactionsLightsLength,TransactionsMediumALength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,0,2025,1NB,1,NB,Night,8,OP,NT,3.0,70,12000,1.6,6.5,75,1800,1,4,0.05,0.01,2238.0,0.0,277.0,0.0,0.0,1.0,1.0,1.0,2.745,1.3725,0.13729977116704806,0.13729977116704806,30,4.103,0.708,2258.704789728038,0.0,279.5626571736669,0.0,0.0,2538.267446901705,3097.392761249039,1.0,1.2,0.19855081802878455,3097.392761249039,0.0,1.0,45.17409579456076,2102.8541592368033,0.0,265.5845243149835,0.0,0.0,2411.3540745566197,0.14486107923724567,0.7243053961862284,,0.13719965035936696,0.1372090948815825,131.20734098254752,656.0367049127377,69.991088470398,74.91152814775009,0.0,2.4028344428507853,2.571755975421487,-0.16892153257070186,0.0004485434702943922,288.51085540403,1925.0198385294473,0.0,0.0,288.51085540403,2204.582495703114,17636.659965624913,288.51085540403,0.16028380855779445,2308.08684323224,6924.2605296967195,2763.7078100504477,22109.662480403582,66328.98744121075,3052.2186654544776,24417.74932363582,73253.24797090747,0.2543515554545398,0.434583237711737,2.172916188558685,0.14486107923724567,125.38198165646615,125.38198165646615,0.0,1003.0558532517292,1003.0558532517292,0.0,2308.08684323224,0.0,2308.08684323224,6924.2605296967195,0.0,20306.13957521364,-0.06568334405950672,154.3615776265265
1,1,2025,1NB,1,NB,AM-Early,1,OP,AM,3.0,70,12000,1.6,6.5,75,1800,1,4,0.05,0.01,1841.0,0.0,228.0,0.0,0.0,1.0,1.0,1.0,2.745,1.3725,0.13729977116704806,0.13729977116704806,30,4.155,0.715,2209.2,0.0,273.59999999999997,0.0,0.0,2482.7999999999997,3030.0,1.0,1.2,0.19423076923076923,3030.0,0.0,1.0,44.184,2056.7651999999994,0.0,259.91999999999996,0.0,0.0,2358.66,0.1538906329791901,0.7694531648959504,,0.13729915095656414,0.13729843126547642,139.22905378226406,696.1452689113203,69.99227856684898,74.91882195348549,0.0,2.4026005122151517,2.5717122472028633,-0.1691117349877116,0.00038863581078008166,282.3921156770078,1882.6238843229921,0.0,0.0,282.3921156770078,2156.223884322992,2156.223884322992,282.3921156770078,0.15688450870944876,282.3921156770078,847.1763470310234,2703.4238843229923,2703.4238843229923,8110.271652968977,2985.8160000000003,2985.8160000000003,8957.448,0.248818,0.46167189893757027,2.308359494687851,0.1538906329791901,130.37250428960218,130.37250428960218,0.0,130.37250428960218,130.37250428960218,0.0,282.3921156770078,0.0,282.3921156770078,847.1763470310234,0.0,2482.7999999999997,-0.0657584203565725,163.7988868026636
2,2,2025,1NB,1,NB,AM-Peak,2,Peak,AM,3.0,70,12000,1.6,6.5,75,1800,1,4,0.05,0.01,4183.0,0.0,517.0,0.0,0.0,1.0,1.0,1.0,2.745,1.3725,0.13729977116704806,0.13729977116704806,30,4.155,0.715,2509.7999999999997,0.0,310.2,0.0,0.0,2819.9999999999995,3440.3999999999996,1.0,1.2,0.22053846153846152,3440.3999999999996,0.0,1.0,50.196,2336.6238,0.0,294.69,0.0,0.0,2678.9999999999995,0.1526470701779675,0.7632353508898375,,0.13729466768018628,0.13729790115567456,139.22943522788455,696.1471761394229,69.98237747712245,74.86488825349039,0.0,2.404331378823743,2.572076092425451,-0.16774471360170784,0.0008871037657246316,320.805988114614,2138.7980118853857,0.0,0.0,320.805988114614,2448.9980118853855,4897.996023770771,320.805988114614,0.17822554895256335,641.611976229228,1924.8359286876841,3069.3980118853856,6138.796023770771,18416.388071312314,3390.2039999999997,6780.407999999999,20341.224,0.28251699999999996,0.45794121053390247,2.2897060526695125,0.1526470701779675,146.91028254373109,146.91028254373109,0.0,293.82056508746217,293.82056508746217,0.0,641.611976229228,0.0,641.611976229228,1924.8359286876841,0.0,5639.999999999999,-0.06521763259481397,163.79933556221712
3,3,2025,1NB,1,NB,AM-Shoulder,1,OP,AM,3.0,70,12000,1.6,6.5,75,1800,1,4,0.05,0.01,4812.0,0.0,595.0,0.0,0.0,1.0,1.0,1.0,2.745,1.3725,0.13729977116704806,0.13729977116704806,30,4.155,0.715,2887.2,0.0,357.0,0.0,0.0,3244.2,3958.2,1.0,1.2,0.2537307692307692,3958.2,0.0,1.0,57.744,2687.9831999999997,0.0,339.15,0.0,0.0,3081.99,0.15056200429823846,0.7528100214911924,,0.13729386338210509,0.13729775883280249,139.22874663500298,696.143733175015,69.95617535218156,74.76370856508812,0.0,2.4075852235619744,2.5730394649767936,-0.16545424141481924,0.002206924161064698,369.0435982341936,2460.412401765806,0.0,0.0,369.0435982341936,2817.412401765806,2817.412401765806,369.0435982341936,0.20502422124121866,369.0435982341936,1107.1307947025807,3531.412401765806,3531.412401765806,10594.237205297417,3900.4559999999997,3900.4559999999997,11701.367999999999,0.325038,0.4516860128947154,2.2584300644735773,0.15056200429823846,166.69183147072215,166.69183147072215,0.0,166.69183147072215,166.69183147072215,0.0,369.0435982341936,0.0,369.0435982341936,1107.1307947025807,0.0,3244.2,-0.06430303291765153,163.7985254529447
4,4,2025,1NB,1,NB,MD,5,OP,MD,3.0,70,12000,1.6,6.5,75,1800,1,4,0.05,0.01,5111.0,0.0,632.0,0.0,0.0,1.0,1.0,1.0,2.745,1.3725,0.13729977116704806,0.13729977116704806,30,4.136,0.708,3066.6,0.0,379.2,0.0,0.0,3445.7999999999997,4204.2,1.0,1.2,0.26949999999999996,4204.2,0.0,1.0,61.332,2855.0045999999998,0.0,360.23999999999995,0.0,0.0,3273.5099999999998,0.14545609753531274,0.7272804876765637,,0.13729060517370215,0.13729866293845747,135.5679334510974,677.8396672554869,69.93516566210201,74.69955804685043,0.31610105145637635,2.409652810624485,2.573812448942869,-0.16415963831838365,0.003265912194587404,391.96530930770336,2613.3026906922964,0.0,0.0,391.96530930770336,2992.5026906922963,14962.51345346148,391.96530930770336,0.2177585051709463,1959.8265465385168,5879.479639615551,3750.9026906922963,18754.51345346148,56263.540360384446,4142.8679999999995,20714.339999999997,62143.02,0.34523899999999996,0.43636829260593823,2.1818414630296914,0.14545609753531274,171.04123278336098,171.04123278336098,0.0,855.2061639168049,855.2061639168049,0.0,1959.8265465385168,0.0,1959.8265465385168,5879.479639615551,0.0,17229.0,-0.06378073056014949,159.49168641305573
5,5,2025,1NB,1,NB,PM-Shoulder,1,OP,PM,3.0,70,12000,1.6,6.5,75,1800,1,4,0.05,0.01,6757.0,0.0,835.0,0.0,0.0,1.0,1.0,1.0,2.745,1.3725,0.13729977116704806,0.13729977116704806,30,4.135,0.592,8108.4,0.0,1002.0,0.0,0.0,9110.4,11114.4,1.0,1.2,0.7124615384615385,11114.4,0.0,1.0,162.168,7548.9204,0.0,951.9,0.0,0.0,8654.88,1.37249758606372,6.862487930318601,,0.10069819419568594,0.10180128070650672,132.64041729028006,663.2020864514003,43.38793338338734,70.16311866831408,1.6821465326186091,2.5654503878444137,4.1486188892536555,-1.5831685014092418,2.1607507354203657,760.1626524069752,7186.069347593025,0.0,0.0,760.1626524069752,8188.069347593025,8188.069347593025,760.1626524069752,0.4223125846705418,760.1626524069752,2280.4879572209256,10192.069347593024,10192.069347593024,30576.20804277907,10952.232,10952.232,32856.695999999996,0.912686,4.11749275819116,20.587463790955802,1.37249758606372,3129.9642163331046,3129.9642163331046,0.0,3129.9642163331046,3129.9642163331046,0.0,760.1626524069752,0.0,760.1626524069752,2280.4879572209256,0.0,9110.4,-0.3816133859656742,156.04754975327066
6,6,2025,1NB,1,NB,PM-Peak,3,Peak,PM,3.0,70,12000,1.6,6.5,75,1800,1,4,0.05,0.01,6670.0,0.0,824.0,0.0,0.0,1.0,1.0,1.0,2.745,1.3725,0.13729977116704806,0.13729977116704806,30,4.135,0.592,8004.0,0.0,988.8,0.0,0.0,8992.8,10970.4,1.0,1.2,0.7032307692307692,10970.4,0.0,1.0,160.08,7451.724,0.0,939.3599999999999,0.0,0.0,8543.159999999998,1.3724994705860358,6.862497352930179,,0.09367773117030712,0.09471633995628943,135.89159112234228,679.4579556117113,44.23392741822965,71.31591023950531,2.8446263030357315,2.5239809657549506,4.069274661010963,-1.5452936952560128,2.052049142727877,698.0605976273256,7145.859402372675,0.0,0.0,698.0605976273256,8134.659402372675,24403.978207118023,698.0605976273256,0.387811443126292,2094.181792881977,6282.545378645931,10112.259402372674,30336.778207118023,91010.33462135406,10810.32,32430.96,97292.87999999999,0.90086,4.117498411758108,20.587492058790538,1.3724994705860358,2874.263402041429,2874.263402041429,0.0,8622.790206124286,8622.790206124286,0.0,2094.181792881977,0.0,2094.181792881977,6282.545378645931,0.0,26978.399999999998,-0.37974671753223527,159.8724601439321
7,7,2025,1NB,1,NB,PM-Late,3,OP,PM,3.0,70,12000,1.6,6.5,75,1800,1,4,0.05,0.01,6393.0,0.0,790.0,0.0,0.0,1.0,1.0,1.0,2.745,1.3725,0.13729977116704806,0.13729977116704806,30,4.135,0.592,6191.704565799619,0.0,765.1253882342717,0.0,0.0,6956.82995403389,8487.080730502434,1.0,1.2,0.5440436365706688,8487.080730502434,0.0,1.0,123.83409131599238,5764.476950759445,0.0,726.8691188225581,0.0,0.0,6608.988456332196,0.3630706099307433,1.8153530496537165,,0.0941190310544,0.09432869820157072,136.07690999313687,680.3845499656843,63.08470585995023,73.61713584608705,1.400797294259563,2.445082899942344,2.8533064796973915,-0.4082235797550475,0.38617273432828314,542.5469851409013,5525.323489342724,0.0,0.0,542.5469851409013,6290.448877576996,18871.346632730987,542.5469851409013,0.3014149917449451,1627.6409554227039,4882.922866268112,7820.699654045539,23462.098962136617,70386.29688640985,8363.24663918644,25089.73991755932,75269.21975267796,0.6969372199322034,1.08921182979223,5.446059148961149,0.3630706099307433,590.9485944335788,590.9485944335788,0.0,1772.8457833007365,1772.8457833007365,0.0,1627.6409554227039,0.0,1627.6409554227039,4882.922866268112,0.0,20870.48986210167,-0.1430703580774617,160.0904823448669
8,8,2025,1SB,1,SB,Night,8,OP,NT,3.0,70,12000,1.6,5.0,75,1800,1,4,0.05,0.01,1637.0,0.0,202.0,0.0,0.0,1.0,1.0,1.0,2.745,1.3725,0.13729977116704806,0.13729977116704806,30,4.103,0.708,1470.0481602450802,0.0,181.39873449572767,0.0,0.0,1651.446894740808,2014.244363732263,1.0,1.2,0.12911822844437584,2014.244363732263,0.0,1.0,29.400963204901604,1368.6148371881695,0.0,172.32879777094126,0.0,0.0,1568.8745500037674,0.1468794183943541,0.7343970919717704,,0.1371731336725916,0.1371767187821945,131.22162857326333,656.1081428663165,69.99085124612593,74.98412097577068,0.0,2.400508236379309,2.5717646920312776,-0.17125645565196868,0.00046048522570740807,187.73718600790497,1252.9100110322736,0.0,0.0,187.73718600790497,1434.3087455280013,11474.46996422401,187.73718600790497,0.10429843667105831,1501.8974880632397,4505.692464189719,1797.1062145194564,14376.849716155652,43130.549148466955,1984.8434005273614,15878.747204218891,47636.241612656675,0.16540361671061346,0.44063825518306227,2.2031912759153114,0.1468794183943541,82.72418607550125,82.72418607550125,0.0,661.79348860401,661.79348860401,0.0,1501.8974880632397,0.0,1501.8974880632397,4505.692464189719,0.0,13211.575157926463,-0.06659102840264279,154.37838655678038
9,9,2025,1SB,1,SB,AM-Early,1,OP,AM,3.0,70,12000,1.6,5.0,75,1800,1,4,0.05,0.01,4573.0,0.0,565.0,0.0,0.0,1.0,1.0,1.0,2.745,1.3725,0.13729977116704806,0.13729977116704806,30,4.155,0.715,2743.7999999999997,0.0,339.0,0.0,0.0,3082.7999999999997,3760.7999999999997,1.0,1.2,0.24107692307692305,3760.7999999999997,0.0,1.0,54.876,2554.477799999999,0.0,322.05,0.0,0.0,2928.6599999999994,0.1573041238442773,0.7865206192213865,,0.13729932945723433,0.1372997357414909,139.2271142866213,696.1355714331064,69.79306036362468,74.8071310671358,0.0,2.4061877180994773,2.5790529754991787,-0.17286525739970138,0.010445433576731982,350.72808905339105,2338.1959109466084,0.0,0.0,350.72808905339105,2677.1959109466084,2677.1959109466084,350.72808905339105,0.19484893836299502,350.72808905339105,1052.184267160173,3355.1959109466084,3355.1959109466084,10065.587732839826,3705.9239999999995,3705.9239999999995,11117.771999999999,0.30882699999999996,0.47191237153283194,2.3595618576641595,0.1573041238442773,165.51292426836403,165.51292426836403,0.0,165.51292426836403,165.51292426836403,0.0,350.72808905339105,0.0,350.72808905339105,1052.184267160173,0.0,3082.7999999999997,-0.06702664080261597,163.79660504308384
