,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT MediumA,AADT MediumB,AADT HeavyA,AADT HeavyB,GrowthFactor,GrowthFactor_medium,GrowthFactor_heavy,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,Min Speed,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Max VC,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,CaptureRateLights,CaptureRateMediumA,VOT Lights,VOT MediumA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay,TransactionsLightsLength,TransactionsMediumALength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,0,2025,1NB,1,NB,Night,8,OP,NT,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,1830.0,226.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6,0.8,0.13729977116704806,0.13729977116704806,30,4.009,0.708,1830.0,226.0,0.0,0.0,0.0,2056.0,2508.0,1.0,1.2,0.16076923076923078,2508.0,0.0,1.0,0.0,1738.5,214.7,0.0,0.0,0.0,1953.1999999999998,0.20000015539049779,1.000000776952489,,0.07257461780201553,0.07255470922160338,154.5841997359849,772.9209986799245,64.99647116507887,69.99994500986425,0.0,2.5714305914759614,2.7693811182892327,-0.1979505268132713,0.0002059782100948985,126.170973048804,1703.829026951196,15.577496069878245,210.42250393012176,141.74846911868224,1914.2515308813179,15314.012247050543,172.90346125843874,0.09605747847691042,1383.22769006751,4149.68307020253,2335.0965387415613,18680.77230993249,56042.31692979747,2508.0,20064.0,60192.0,0.209,0.6000004661714934,3.000002330857467,0.2879164949161682,122.4351671651511,75.70264264659333,46.73252451855777,979.4813373212088,605.6211411727467,373.86019614846214,1009.367784390432,124.61996855902596,1133.987752949458,3028.103353171296,373.8599056770779,16448.0,-0.07147825393406089,60.62125479842544
1,1,2025,1NB,1,NB,AM-Early,1,OP,AM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,3467.0,429.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6,0.8,0.13729977116704806,0.13729977116704806,30,3.82,0.715,3467.0,429.0,0.0,0.0,0.0,3896.0,4754.0,1.0,1.2,0.3047435897435897,4754.0,0.0,1.0,0.0,3293.6499999999996,407.54999999999995,0.0,0.0,0.0,3701.2,0.20000000089605974,1.0000000044802988,,0.04928252837040305,0.04924726223911821,148.67155492608023,743.3577746304012,64.81206738635173,69.99975007414355,1.2191698681189034,2.5714377524111796,2.777260582153638,-0.20582282974245825,0.011000843704329829,162.31939956717798,3304.680600432822,20.070721725552623,408.92927827444737,182.3901212927306,3713.609878707269,3713.609878707269,222.53156474383584,0.1236286470799088,222.53156474383584,667.5946942315076,4531.4684352561635,4531.4684352561635,13594.40530576849,4753.999999999999,4753.999999999999,14261.999999999998,0.3961666666666666,0.6000000026881792,3.0000000134408964,0.28803425044080366,157.6038056230768,97.39164017665043,60.21216544642636,157.6038056230768,97.39164017665043,60.21216544642636,162.31939956717798,20.070721725552623,182.3901212927306,486.95819870153395,60.21216517665787,3896.0,-0.07411001728287668,58.302570559247144
2,2,2025,1NB,1,NB,AM-Peak,2,Peak,AM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,4855.0,600.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6,0.8,0.13729977116704806,0.13729977116704806,30,3.82,0.715,4855.0,600.0,0.0,0.0,0.0,5455.0,6655.0,1.0,1.2,0.4266025641025641,6655.0,0.0,1.0,0.0,4612.25,570.0,0.0,0.0,0.0,5182.25,0.200000095664784,1.00000047832392,,0.08068709681918969,0.08066062313259577,124.18758650570504,620.9379325285253,63.848767657914074,69.96377057429272,1.715247762332486,2.572760137460897,2.8191616941519615,-0.24640155669106445,0.0684053671420334,372.1490623043076,4482.850937695693,45.976555185579585,554.0234448144204,418.1256174898872,5036.874382510113,10073.748765020226,510.0787278610464,0.2833770710339147,1020.1574557220928,3060.472367166278,6144.921272138954,12289.842544277908,36869.52763283372,6655.0,13310.0,39930.0,0.5545833333333333,0.6000002869943519,3.00000143497176,0.28796710893371424,361.2192757190606,223.28954418726352,137.92973153179707,722.4385514381212,446.57908837452703,275.85946306359415,744.2981246086152,91.95311037115917,836.2512349797744,2232.894373825846,275.85933111347754,10910.0,-0.08740242079842286,48.701014315962766
3,3,2025,1NB,1,NB,AM-Shoulder,1,OP,AM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,4132.0,511.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6,0.8,0.13729977116704806,0.13729977116704806,30,3.82,0.715,4132.0,511.0,0.0,0.0,0.0,4643.0,5665.0,1.0,1.2,0.3631410256410256,5665.0,0.0,1.0,0.0,3925.3999999999996,485.45,0.0,0.0,0.0,4410.849999999999,0.20000009348635436,1.0000004674317717,,0.05907954683985681,0.05904283978111176,139.47113658369344,697.3556829184672,64.49516374350335,69.99787589624552,1.2911131285001187,2.5715066020975454,2.790906938632767,-0.21940033653522173,0.029696352080737225,231.9108531651739,3900.089146834826,28.662346571740702,482.3376534282593,260.5731997369146,4382.426800263085,4382.426800263085,317.897892880396,0.17660994048910889,317.897892880396,953.693678641188,5347.102107119604,5347.102107119604,16041.30632135881,5665.0,5665.0,16995.0,0.47208333333333335,0.6000002804590631,3.0000014022953154,0.2879979689343922,225.13365684890138,139.14657694060494,85.98707990829644,225.13365684890138,139.14657694060494,85.98707990829644,231.9108531651739,28.662346571740702,260.5731997369146,695.7325594955217,85.98703971522211,4643.0,-0.07861255905677149,54.69456336615429
4,4,2025,1NB,1,NB,MD,5,OP,MD,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,5636.0,697.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6,0.8,0.13729977116704806,0.13729977116704806,30,3.823,0.708,5636.0,697.0,0.0,0.0,0.0,6333.0,7727.0,1.0,1.2,0.4953205128205128,7727.0,0.0,1.0,0.0,5354.2,662.15,0.0,0.0,0.0,6016.349999999999,0.2071968249976153,1.0359841249880766,,0.10565672424380743,0.10566615454832058,110.84896605612688,554.2448302806345,62.63327178273452,69.55481037699953,0.7122695186773043,2.5878871500672314,2.8738719034891416,-0.2859847534219102,0.1433583539339699,565.7072329461937,5070.2927670538065,69.96684423417047,627.0331557658295,635.6740771803642,5697.325922819636,28486.62961409818,775.607765648705,0.4308932031381695,3878.038828243525,11634.116484730575,6951.392234351295,34756.96117175648,104270.88351526944,7727.0,38635.0,115905.00000000001,0.6439166666666667,0.6215904749928459,3.1079523749642295,0.29841909440162323,569.0918473402555,351.63822763391306,217.4536197063424,2845.4592367012774,1758.1911381695654,1087.268098531712,2828.5361647309683,349.83422117085235,3178.3703859018206,8485.608494192904,1049.502663512557,31665.0,-0.09951200437107122,43.47018276710858
5,5,2025,1NB,1,NB,PM-Shoulder,1,OP,PM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,7121.0,880.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6,0.8,0.13729977116704806,0.13729977116704806,30,4.005,0.592,7121.0,880.0,0.0,0.0,0.0,8001.0,9761.0,1.0,1.2,0.6257051282051282,9761.0,0.0,1.0,0.0,6764.95,836.0,0.0,0.0,0.0,7600.95,0.5040023507024624,2.520011753512312,,0.0908866972687636,0.09094605287025301,121.01228333849883,605.0614166924942,55.628055326281235,69.26940600968854,1.3193942325867885,2.5985497836494202,3.235777323946102,-0.6372275402966818,0.6391687799600058,614.8439626883223,6506.156037311677,76.03090019953152,803.9690998004685,690.8748628878539,7310.125137112145,7310.125137112145,842.9366632869169,0.46829814627050936,842.9366632869169,2528.8099898607506,8918.063336713083,8918.063336713083,26754.19001013925,9761.0,9761.0,29283.0,0.8134166666666667,1.512007052107387,7.560035260536935,0.725864540138111,1504.4446939292175,929.6484075303945,574.796286398823,1504.4446939292175,929.6484075303945,574.796286398823,614.8439626883223,76.03090019953152,690.8748628878539,1844.531888064967,228.09270059859455,8001.0,-0.19693182703918846,47.4557973876466
6,6,2025,1NB,1,NB,PM-Peak,3,Peak,PM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,6508.0,804.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6,0.8,0.13729977116704806,0.13729977116704806,30,4.005,0.592,6508.0,804.0,0.0,0.0,0.0,7312.0,8920.0,1.0,1.2,0.5717948717948718,8920.0,0.0,1.0,0.0,6182.599999999999,763.8,0.0,0.0,0.0,6946.4,0.3402377898555756,1.7011889492778782,,0.09620645514221113,0.09624192268328798,118.7346436497998,593.6732182489991,59.36547921632564,69.4005627261299,1.6681875546727971,2.5936389119828918,3.032065139137285,-0.4384262271543933,0.36008308677192663,594.8060295622345,5913.1939704377655,73.50958054549535,730.4904194545046,668.3156101077299,6643.68438989227,19931.05316967681,815.3347711987205,0.452963761777067,2446.0043135961614,7338.012940788484,8104.665228801279,24313.99568640384,72941.98705921152,8920.0,26760.0,80280.0,0.7433333333333333,1.0207133695667268,5.103566847833635,0.4899319573401754,982.2875249432209,607.1264666730744,375.16105827014644,2946.8625748296627,1821.3794000192233,1125.4831748104393,1784.4180886867034,220.52874163648607,2004.9468303231895,5353.25426606011,661.5862249094582,21936.0,-0.14459657264459,46.56260535286267
7,7,2025,1NB,1,NB,PM-Late,3,OP,PM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,5882.0,727.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6,0.8,0.13729977116704806,0.13729977116704806,30,4.005,0.592,5882.0,727.0,0.0,0.0,0.0,6609.0,8063.0,1.0,1.2,0.5168589743589743,8063.0,0.0,1.0,0.0,5587.9,690.65,0.0,0.0,0.0,6278.549999999999,0.23762117363728355,1.1881058681864178,,0.1042010360067432,0.10422240191783674,115.56858275676252,577.8429137838127,61.950047552815455,69.47171132611633,0.7773603707490575,2.590982668543146,2.9055667769510776,-0.3145841084079315,0.18678033057682258,582.2649691020803,5299.735030897919,71.98120188455394,655.0187981154461,654.2461709866342,5954.753829013365,17864.261487040094,798.2085747557421,0.4434492081976345,2394.6257242672264,7183.877172801679,7264.791425244258,21794.374275732775,65383.12282719833,8063.0,24189.0,72567.0,0.6719166666666667,0.7128635209118507,3.5643176045592533,0.34219500795310953,671.6393210521883,415.0754559777389,256.5638650744493,2014.9179631565648,1245.2263679332168,769.691595223348,1746.794907306241,215.94360565366182,1962.7385129599027,5240.384721918723,647.8308169609854,19827.0,-0.10826944708461894,45.32101284578923
8,8,2025,1SB,1,SB,Night,8,OP,NT,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,1785.0,221.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6,0.8,0.13729977116704806,0.13729977116704806,30,4.009,0.708,1785.0,221.0,0.0,0.0,0.0,2006.0,2448.0,1.0,1.2,0.15692307692307692,2448.0,0.0,1.0,0.0,1695.75,209.95,0.0,0.0,0.0,1905.6999999999998,0.2000007955917083,1.0000039779585415,,0.07255299757762632,0.07253365240666063,154.600343983705,773.0017199185249,64.99694792698229,69.99995253026464,0.0,2.571430315215951,2.7693608044828872,-0.19793048926693624,0.00017814829540159437,123.03174564225982,1661.96825435774,15.228440322778397,205.7715596772216,138.2601859650382,1867.7398140349617,14941.918512279693,168.717066610595,0.09373170367255278,1349.73653288476,4049.20959865428,2279.282933389405,18234.26346711524,54702.79040134572,2448.0,19584.0,58752.0,0.204,0.600002386775125,3.0000119338756246,0.288115827664548,119.50484373711393,73.81934103446598,45.68550270264796,956.0387498969114,590.5547282757278,365.4840216211837,984.2539651380786,121.82752258222718,1106.0814877203056,2952.761895414236,365.4825677466815,16048.0,-0.071471542800251,60.627585875962744
9,9,2025,1SB,1,SB,AM-Early,1,OP,AM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,7354.0,909.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6,0.8,0.13729977116704806,0.13729977116704806,30,3.82,0.715,7354.0,909.0,0.0,0.0,0.0,8263.0,10081.0,1.0,1.2,0.6462179487179487,10081.0,0.0,1.0,0.0,6986.299999999999,863.55,0.0,0.0,0.0,7849.849999999999,0.5972456047968524,2.9862280239842622,,0.08644082504562714,0.08648394855178054,120.94699590723985,604.7349795361994,53.71036825774516,69.34325382206916,1.4933497228487325,2.595782431292736,3.351308245294773,-0.7555258140020369,0.7974461422076846,603.9015360162648,6750.098463983735,74.68321377189008,834.3167862281099,678.5847497881549,7584.415250211845,7584.415250211845,827.951177331935,0.4599728762955195,827.951177331935,2483.853531995805,9253.048822668065,9253.048822668065,27759.146468004194,10081.0,10081.0,30243.0,0.8400833333333333,1.7917368143905572,8.958684071952787,0.8601705891339744,1751.0959320078232,1082.0326143473467,669.0633176604766,1751.0959320078232,1082.0326143473467,669.0633176604766,603.9015360162648,74.68321377189008,678.5847497881549,1811.7046080487944,224.04964131567024,8263.0,-0.22544205387934488,47.4301944734274
