,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT MediumA,AADT MediumB,AADT HeavyA,AADT HeavyB,GrowthFactor,GrowthFactor_medium,GrowthFactor_heavy,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,Min Speed,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Max VC,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,CaptureRateLights,CaptureRateMediumA,VOT Lights,VOT MediumA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay,TransactionsLightsLength,TransactionsMediumALength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,0,2025,1NB,1,NB,Night,8,OP,NT,3.0,65,14000,1,6,70,1800,1,6,0.2,0.01,1830.0,226.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,0.04009000000000001,0.708,1830.0,226.0,0.0,0.0,0.0,2056.0,2508.0,1.0,1.2,0.1425,2508.0,0.0,1.0,0.0,1738.5,214.7,0.0,0.0,0.0,1953.1999999999998,1.0000000000000002,5.000000000000001,,0.010000952580106505,0.010000952580106505,773.1621530283983,3865.8107651419914,64.9979712838847,69.99999999962328,0.0,2.57142857144241,2.769317202437492,-0.19788863099508225,0.00011841349320980203,17.386656060515158,1812.6133439394848,2.1472045189488664,223.85279548105115,19.533860579464026,2036.466139420536,16291.729115364287,23.828269617361755,0.013237927565200975,190.62615693889404,571.8784708166821,2484.171730382638,19873.373843061105,59620.121529183314,2508.0,20064.0,60191.99999999999,0.17914285714285713,3.000000000000001,15.000000000000004,1.4396887159533076,84.36803596577849,52.15996818154549,32.208067784233,674.9442877262279,417.2797454523639,257.664542273864,139.09324848412126,17.17763615159093,156.2708846357122,417.2797454523638,51.532908454772794,16448.0,-0.0714575530823645,303.2008443248621
1,1,2025,1NB,1,NB,AM-Early,1,OP,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.01,3467.0,429.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,0.0382,0.715,3467.0,429.0,0.0,0.0,0.0,3896.0,4754.0,1.0,1.2,0.2701136363636364,4754.0,0.0,1.0,0.0,3293.6499999999996,407.54999999999995,0.0,0.0,0.0,3701.2,1.0000000000000002,5.000000000000001,,0.010000952580106505,0.010000952580106505,758.1331517381957,3790.6657586909787,64.90602845123183,69.99999998252538,1.4940107859479899,2.5714285720704964,2.7732400871707292,-0.20181151510023287,0.005492765577745073,32.93963746546779,3434.060362534532,4.075888224022406,424.9241117759776,37.0155256894902,3858.9844743105095,3858.9844743105095,45.167302137535,0.02509294563196389,45.167302137535,135.50190641260502,4708.832697862465,4708.832697862465,14126.498093587394,4754.0,4754.0,14261.999999999998,0.3395714285714286,3.000000000000001,15.000000000000004,1.440451745379877,159.95723575673952,98.8189123964034,61.1383233603361,159.95723575673952,98.8189123964034,61.1383233603361,32.93963746546779,4.075888224022406,37.0155256894902,98.81891239640336,12.227664672067217,3896.0,-0.07277102189378844,297.30711832870423
2,2,2025,1NB,1,NB,AM-Peak,2,Peak,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.01,4855.0,600.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,0.0382,0.715,4855.0,600.0,0.0,0.0,0.0,5455.0,6655.0,1.0,1.2,0.378125,6655.0,0.0,1.0,0.0,4612.25,570.0,0.0,0.0,0.0,5182.25,1.0000000000000002,5.000000000000001,,0.010000952580106505,0.010000952580106505,671.1286586064112,3355.643293032056,64.2994296322656,69.99999986849531,3.267853971814483,2.571428576259356,2.799402747884961,-0.22797417162560496,0.04133561075624234,46.126893537596224,4808.8731064624035,5.700542970660708,594.2994570293392,51.82743650825693,5403.172563491743,10806.345126983486,63.22852244957835,0.03512695691643242,126.4570448991567,379.3711346974701,6591.771477550421,13183.542955100842,39550.628865302526,6654.999999999999,13309.999999999998,39929.99999999999,0.4753571428571428,3.000000000000001,15.000000000000004,1.4399633363886346,223.88882517269934,138.38068061278872,85.50814455991063,447.7776503453987,276.76136122557745,171.01628911982127,92.25378707519245,11.401085941321416,103.65487301651386,276.76136122557733,34.20325782396425,10910.0,-0.08143671781341459,263.1877092574162
3,3,2025,1NB,1,NB,AM-Shoulder,1,OP,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.01,4132.0,511.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,0.0382,0.715,4132.0,511.0,0.0,0.0,0.0,4643.0,5665.0,1.0,1.2,0.321875,5665.0,0.0,1.0,0.0,3925.3999999999996,485.45,0.0,0.0,0.0,4410.849999999999,1.0000000000000002,5.000000000000001,,0.010000952580106505,0.010000952580106505,731.0728008721882,3655.3640043609407,64.73166793844976,69.99999994996749,1.780305238198436,2.5714285732665005,2.7807100563383194,-0.20928148307181882,0.015726623337343256,39.25773925795007,4092.74226074205,4.854962430012702,506.1450375699873,44.112701687962776,4598.887298312037,4598.887298312037,53.82262654798818,0.029901459193326766,53.82262654798818,161.46787964396452,5611.177373452012,5611.177373452012,16833.532120356038,5665.0,5665.0,16995.000000000004,0.40464285714285714,3.000000000000001,15.000000000000004,1.4402326082274393,190.5976542240408,117.77321777385025,72.82443645019055,190.5976542240408,117.77321777385025,72.82443645019055,39.25773925795007,4.854962430012702,44.112701687962776,117.7732177738502,14.564887290038108,4643.0,-0.07526188593261816,286.6952160283091
4,4,2025,1NB,1,NB,MD,5,OP,MD,3.0,65,14000,1,6,70,1800,1,6,0.2,0.01,5636.0,697.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,0.03823,0.708,5636.0,697.0,0.0,0.0,0.0,6333.0,7727.0,1.0,1.2,0.4390340909090909,7727.0,0.0,1.0,0.0,5354.2,662.15,0.0,0.0,0.0,6016.349999999999,1.0000000000000002,5.000000000000001,,0.010000952580106505,0.010000952580106505,563.0684276122524,2815.342138061262,63.30997207800384,69.99999967780536,2.4283174890660746,2.571428583264293,2.8431539944169155,-0.2717254111526226,0.10127481850502044,53.54710030440625,5582.452899695594,6.622130750917522,690.3778692490824,60.16923105532377,6272.8307689446765,31364.153844723383,73.41349255715882,0.04078527364286601,367.0674627857941,1101.2023883573822,7653.586507442842,38267.93253721421,114803.79761164263,7727.000000000001,38635.00000000001,115905.00000000001,0.5519285714285715,3.000000000000001,15.000000000000004,1.4402336965103428,259.9732621769817,160.6413009132188,99.33196126376286,1299.8663108849084,803.206504566094,496.65980631881433,267.73550152203126,33.11065375458761,300.84615527661884,803.2065045660938,99.33196126376282,31665.0,-0.0955718232942036,220.81114808323628
5,5,2025,1NB,1,NB,PM-Shoulder,1,OP,PM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.01,7121.0,880.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,0.04005,0.592,7121.0,880.0,0.0,0.0,0.0,8001.0,9761.0,1.0,1.2,0.5546022727272727,9761.0,0.0,1.0,0.0,6764.95,836.0,0.0,0.0,0.0,7600.95,1.0000000000000002,5.000000000000001,,0.010000952580106505,0.010000952580106505,307.112193636145,1535.5609681807248,58.6392203829425,69.99999869076166,3.06753034952426,2.5714286195230422,3.0696178909697784,-0.4981892714467362,0.411530356782443,67.6559441567915,7053.3440558432085,8.360796356969038,871.639203643031,76.01674051376054,7924.983259486239,7924.983259486239,92.73833322769862,0.05152129623761034,92.73833322769862,278.21499968309587,9668.261666772301,9668.261666772301,29004.785000316904,9761.0,9761.0,29283.0,0.6972142857142857,3.000000000000001,15.000000000000004,1.4399450068741413,328.3797778249102,202.9678324703746,125.4119453545356,328.3797778249102,202.9678324703746,125.4119453545356,67.6559441567915,8.360796356969038,76.01674051376054,202.9678324703745,25.082389070907112,8001.0,-0.1622968360043485,120.43615436711568
6,6,2025,1NB,1,NB,PM-Peak,3,Peak,PM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.01,6508.0,804.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,0.04005,0.592,6508.0,804.0,0.0,0.0,0.0,7312.0,8920.0,1.0,1.2,0.5068181818181818,8920.0,0.0,1.0,0.0,6182.599999999999,763.8,0.0,0.0,0.0,6946.4,1.0000000000000002,5.000000000000001,,0.010000952580106505,0.010000952580106505,410.46455160198224,2052.322758009911,61.13762887188327,69.99999923749627,4.380053708277263,2.5714285994389128,2.9441769875831842,-0.37274838814427147,0.2396763191428087,61.83188942176647,6446.168110578234,7.638727580685348,796.3612724193147,69.47061700245182,7242.529382997548,21727.588148992643,84.74807216382251,0.04708226231323473,254.24421649146754,762.7326494744026,8835.251927836178,26505.75578350853,79517.2673505256,8920.0,26760.0,80280.0,0.6371428571428571,3.000000000000001,15.000000000000004,1.439824945295405,300.0765819755797,185.49566826529946,114.58091371028024,900.229745926739,556.4870047958984,343.7427411308407,185.4956682652994,22.916182742056044,208.41185100735544,556.4870047958982,68.74854822616814,21936.0,-0.1266052923164287,160.9664908243068
7,7,2025,1NB,1,NB,PM-Late,3,OP,PM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.01,5882.0,727.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,0.04005,0.592,5882.0,727.0,0.0,0.0,0.0,6609.0,8063.0,1.0,1.2,0.458125,8063.0,0.0,1.0,0.0,5587.9,690.65,0.0,0.0,0.0,6278.549999999999,1.0000000000000002,5.000000000000001,,0.010000952580106505,0.010000952580106505,521.7667396416937,2608.833698208468,62.83461462567615,69.99999958405796,2.533910173979521,2.571428586708075,2.8646630694293536,-0.2932344827212785,0.13074225127206066,55.88432292237714,5826.115677077622,6.907157899450557,720.0928421005494,62.7914808218277,6546.208519178172,19638.625557534513,76.60579662072881,0.0425587759004049,229.81738986218642,689.4521695865592,7986.394203379271,23959.182610137814,71877.54783041344,8063.0,24189.0,72567.0,0.5759285714285715,3.000000000000001,15.000000000000004,1.4400060523528524,271.2603372588898,167.65296876713145,103.60736849175838,813.7810117766694,502.95890630139434,310.8221054752751,167.65296876713143,20.721473698351673,188.3744424654831,502.9589063013943,62.16442109505502,19827.0,-0.10236264287083904,204.61440770262496
8,8,2025,1SB,1,SB,Night,8,OP,NT,3.0,65,14000,1,6,70,1800,1,6,0.2,0.01,1785.0,221.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,0.04009000000000001,0.708,1785.0,221.0,0.0,0.0,0.0,2006.0,2448.0,1.0,1.2,0.1390909090909091,2448.0,0.0,1.0,0.0,1695.75,209.95,0.0,0.0,0.0,1905.6999999999998,1.0000000000000002,5.000000000000001,,0.010000952580106505,0.010000952580106505,773.2078210192508,3866.0391050962535,64.99824560896299,69.99999999967422,0.0,2.571428571440539,2.769305514534976,-0.19787694309443715,0.00010240106676312548,16.959115337715605,1768.0408846622845,2.0996999941933607,218.90030000580663,19.058815331908967,1986.9411846680912,15895.52947734473,23.258215320295687,0.012921230733497603,186.0657225623655,558.1971676870965,2424.7417846797043,19397.934277437635,58193.802832312904,2448.0,19584.0,58752.0,0.17485714285714285,3.000000000000001,15.000000000000004,1.440677966101695,82.37284592604725,50.877346013146834,31.495499912900417,658.982767408378,407.0187681051747,251.96399930320334,135.67292270172484,16.797599953546886,152.47052265527174,407.01876810517456,50.39279986064066,16048.0,-0.0714536341533501,303.21875334088264
9,9,2025,1SB,1,SB,AM-Early,1,OP,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.01,7354.0,909.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.11992005329780146,0.11992005329780146,30,0.0382,0.715,7354.0,909.0,0.0,0.0,0.0,8263.0,10081.0,1.0,1.2,0.5727840909090909,10081.0,0.0,1.0,0.0,6986.299999999999,863.55,0.0,0.0,0.0,7849.849999999999,1.0000000000000002,5.000000000000001,,0.010000952580106507,0.010000952580106507,272.0796322827605,1360.3981614138024,57.43891376547953,69.99999841118063,3.168094811346589,2.571428629793366,3.1337639972603206,-0.5623353674669547,0.4994105224004855,69.86965501039808,7284.130344989602,8.636322600550974,900.363677399449,78.50597761094905,8184.494022389052,8184.494022389052,95.778622812051,0.053210346006695,95.778622812051,287.33586843615296,9985.221377187949,9985.221377187949,29955.664131563848,10081.0,10081.0,30243.0,0.7200714285714286,3.000000000000001,15.000000000000004,1.440033885997822,339.1538040394589,209.6089650311943,129.54483900826463,339.1538040394589,209.6089650311943,129.54483900826463,69.86965501039808,8.636322600550974,78.50597761094905,209.60896503119423,25.90896780165292,8263.0,-0.17944407044007585,106.69789501284725
