,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT MediumA,AADT MediumB,AADT HeavyA,AADT HeavyB,GrowthFactor,GrowthFactor_medium,GrowthFactor_heavy,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,Min Speed,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Max VC,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,CaptureRateLights,CaptureRateMediumA,VOT Lights,VOT MediumA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay,TransactionsLightsLength,TransactionsMediumALength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,0,2025,1NB,1,NB,Night,8,OP,NT,3.0,65,14000,1,6,70,1800,1,6,0.2,0.052631578947368425,1830.0,226.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.15789473684210525,0.15789473684210525,30,0.04009000000000001,0.708,1830.0,226.0,0.0,0.0,0.0,2056.0,2508.0,1.0,1.2,0.1425,2508.0,0.0,1.0,0.0,1738.5,214.7,0.0,0.0,0.0,1953.1999999999998,11.999951013532584,59.99975506766292,,0.052631592497533894,0.05263161085431119,9278.81973733918,46394.09868669589,64.99842078461094,69.99999199706859,0.0,2.5714288654138406,2.7692980510476786,-0.19786918563383793,9.217608916546466e-05,91.50002355696267,1738.4999764430372,11.300006850420612,214.6999931495794,102.80003040738329,1953.1999695926165,15625.599756740932,125.4000441082245,0.06966669117123583,1003.200352865796,3009.601058597388,2382.5999558917756,19060.799647134205,57182.398941402615,2508.0,20064.0,60192.0,0.17914285714285713,35.999853040597756,179.99926520298874,17.276195704133023,5327.980331126339,3293.987401261889,2033.9929298644493,42623.84264901071,26351.89921009511,16271.943438915594,732.0001884557014,90.4000548033649,822.4002432590663,2196.000565367104,271.20016441009466,16448.0,-0.07145102548964717,3638.7528381722273
1,1,2025,1NB,1,NB,AM-Early,1,OP,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,3467.0,429.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,0.0382,0.715,3467.0,429.0,0.0,0.0,0.0,3896.0,4754.0,1.0,1.2,0.2701136363636364,4754.0,0.0,1.0,0.0,3293.6499999999996,407.54999999999995,0.0,0.0,0.0,3701.2,39.999999407429044,199.99999703714522,,0.019761892377771477,0.012226492753462267,30351.628987800585,151758.1449390029,64.91012155243833,69.99999945896747,1.3890681608605582,2.571428591303236,2.7730652122502204,-0.2016366209469842,0.005253186936648074,65.08875683004702,3401.911243169953,4.982907121673546,424.0170928783265,70.07166395172057,3825.9283360482796,3825.9283360482796,80.03747819506765,0.04446526566392647,80.03747819506765,240.11243458520295,4673.962521804933,4673.962521804933,14021.8875654148,4754.000000000001,4754.000000000001,14262.000000000002,0.33957142857142864,119.99999822228713,599.9999911114356,51.377852917603704,10800.394932609759,7810.650703896522,2989.7442287132367,10800.394932609759,7810.650703896522,2989.7442287132367,65.08875683004702,4.982907121673546,70.07166395172057,195.26627049014104,14.948721365020639,3896.0,-0.07271254208384265,11902.59960305905
2,2,2025,1NB,1,NB,AM-Peak,2,Peak,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,4855.0,600.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,0.0382,0.715,4855.0,600.0,0.0,0.0,0.0,5455.0,6655.0,1.0,1.2,0.378125,6655.0,0.0,1.0,0.0,4612.25,570.0,0.0,0.0,0.0,5182.25,39.99999993952179,199.99999969760896,,0.02767349248473323,0.017099992516332947,27140.80166795128,135704.0083397564,64.35649589884457,69.99996932136997,2.827478203551454,2.571429698399148,2.7969204582381813,-0.22549075983903322,0.03793487394015469,127.63706571271084,4727.362934287289,9.74699573430978,590.2530042656903,137.38406144702063,5317.615938552979,10635.231877105958,156.87805291564018,0.08715447384202232,313.75610583128037,941.2683174938411,6498.12194708436,12996.24389416872,38988.73168250616,6655.0,13310.0,39930.0,0.47535714285714287,119.99999981856539,599.9999990928269,51.35153008578289,21164.645294111175,15316.447862367519,5848.197431743655,42329.29058822235,30632.895724735037,11696.39486348731,255.27413142542167,19.49399146861956,274.76812289404126,765.822394276265,58.48197440585868,10910.0,-0.0806210842267116,10643.451634490699
3,3,2025,1NB,1,NB,AM-Shoulder,1,OP,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,4132.0,511.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,0.0382,0.715,4132.0,511.0,0.0,0.0,0.0,4643.0,5665.0,1.0,1.2,0.321875,5665.0,0.0,1.0,0.0,3925.3999999999996,485.45,0.0,0.0,0.0,4410.849999999999,39.99999958268715,199.99999791343578,,0.02355239235380566,0.014563492535126617,29343.2130497949,146716.0652489745,64.74832140812507,69.99999556230846,1.6002169081663364,2.571428734445822,2.779994849062023,-0.20856611461620123,0.014746789368817818,92.45256094562873,4039.5474390543714,7.069847451177217,503.9301525488228,99.52240839680594,4543.477591603194,4543.477591603194,113.66210329916038,0.06314561294397798,113.66210329916038,340.98630989748114,5551.337896700839,5551.337896700839,16654.013690102518,5665.0,5665.0,16995.0,0.40464285714285714,119.99999874806146,599.9999937403073,51.366038634685275,15336.215624181783,11094.307197730524,4241.908426451258,15336.215624181783,11094.307197730524,4241.908426451258,92.45256094562873,7.069847451177217,99.52240839680594,277.35768283688617,21.20954235353165,4643.0,-0.07502392124452026,11507.142372468588
4,4,2025,1NB,1,NB,MD,5,OP,MD,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,5636.0,697.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,0.03823,0.708,5636.0,697.0,0.0,0.0,0.0,6333.0,7727.0,1.0,1.2,0.4390340909090909,7727.0,0.0,1.0,0.0,5354.2,662.15,0.0,0.0,0.0,6016.349999999999,39.999999955138925,199.99999977569462,,0.03212519254077833,0.0198644925911039,23175.624354856773,115878.12177428386,63.480735774138026,69.99981597067979,2.012849613350657,2.5714353317070864,2.8355058870211107,-0.26407055531402435,0.0907969113727677,172.0047059018353,5463.995294098165,13.153273769199446,683.8467262308005,185.15797967103475,6147.842020328965,30739.210101644825,211.46452720943364,0.1174802928941298,1057.322636047168,3171.9679081415043,7515.535472790567,37577.67736395283,112733.0320918585,7727.000000000001,38635.0,115905.00000000001,0.5519285714285715,119.99999986541678,599.9999993270839,51.36609826994385,28532.52893773991,20640.56468507129,7891.9642526686175,142662.64468869954,103202.82342535646,39459.82126334309,860.0235295091766,65.76636884599723,925.7898983551738,2580.0705885275297,197.2991065379917,31665.0,-0.09312996193121933,9088.48013915952
5,5,2025,1NB,1,NB,PM-Shoulder,1,OP,PM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,7121.0,880.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,0.04005,0.592,7121.0,880.0,0.0,0.0,0.0,8001.0,9761.0,1.0,1.2,0.5546022727272727,9761.0,0.0,1.0,0.0,6764.95,836.0,0.0,0.0,0.0,7600.95,39.99999997216817,199.99999986084083,,0.040589692560068356,0.025079992560425802,13443.336323798247,67216.68161899122,59.46905209695285,69.9969591633601,2.330950815236694,2.5715402804843697,3.0267844139594593,-0.45524413347508963,0.3528484932783053,274.5872406842344,6846.4127593157655,20.96687378051597,859.0331262194841,295.5541144647504,7705.4458855352495,7705.4458855352495,337.4878620257823,0.18749325668099018,337.4878620257823,1012.4635860773469,9423.512137974218,9423.512137974218,28270.53641392265,9761.0,9761.0,29283.0,0.6972142857142857,119.9999999165045,599.9999995825225,51.350543369690286,45530.593118737714,32950.46885918133,12580.124259556385,45530.593118737714,32950.46885918133,12580.124259556385,274.5872406842344,20.96687378051597,295.5541144647504,823.7617220527032,62.90062134154792,8001.0,-0.15040520605812369,5271.896597567939
6,6,2025,1NB,1,NB,PM-Peak,3,Peak,PM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,6508.0,804.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,0.04005,0.592,6508.0,804.0,0.0,0.0,0.0,7312.0,8920.0,1.0,1.2,0.5068181818181818,8920.0,0.0,1.0,0.0,6182.599999999999,763.8,0.0,0.0,0.0,6946.4,39.9999999663359,199.9999998316795,,0.037095592490525575,0.02291399255251492,17457.71993738378,87288.5996869189,61.60105839248554,69.9989682216545,3.4531943880551355,2.571466474048916,2.922027716685424,-0.3505612426365077,0.20933181801287695,229.3472101319234,6278.652789868077,17.501707511610896,786.4982924883891,246.8489176435343,7065.151082356466,21195.453247069396,281.85233266675607,0.15658462925930894,845.5569980002682,2536.6709940008045,8638.147667333244,25914.44300199973,77743.3290059992,8920.0,26760.0,80280.0,0.6371428571428571,119.99999989900769,599.9999994950385,51.34407725147434,38022.68969079735,27521.6651926685,10501.024498128849,114068.06907239204,82564.9955780055,31503.073494386546,688.0416303957702,52.50512253483269,740.5467529306029,2064.124891187311,157.51536760449807,21936.0,-0.11997190876552112,6846.164681326973
7,7,2025,1NB,1,NB,PM-Late,3,OP,PM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,5882.0,727.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,0.04005,0.592,5882.0,727.0,0.0,0.0,0.0,6609.0,8063.0,1.0,1.2,0.458125,8063.0,0.0,1.0,0.0,5587.9,690.65,0.0,0.0,0.0,6278.549999999999,39.999999958799606,199.99999979399803,,0.0335273927878595,0.020719492926763866,21646.69449569441,108233.47247847205,63.06579667850775,69.9996931191286,2.071431609494012,2.5714398446528612,2.85416199398211,-0.28272214932924866,0.11635577790933657,187.3477181592801,5694.65228184072,14.309917789869464,712.6900822101305,201.65763594914958,6407.342364050851,19222.02709215255,230.2774715288885,0.12793192862716027,690.8324145866654,2072.4972437599963,7832.722528471111,23498.167585413335,70494.50275624,8063.0,24189.0,72567.0,0.5759285714285715,119.99999987639882,599.999999381994,51.353831581610876,31067.67682103528,22481.726155957214,8585.950665078064,93203.03046310584,67445.17846787165,25757.851995234192,562.0431544778403,42.92975336960839,604.9729078474487,1686.1294634335209,128.78926010882518,19827.0,-0.09905609770060612,8488.8998022331
8,8,2025,1SB,1,SB,Night,8,OP,NT,3.0,65,14000,1,6,70,1800,1,6,0.2,0.052631578947368425,1785.0,221.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.15789473684210525,0.15789473684210525,30,0.04009000000000001,0.708,1785.0,221.0,0.0,0.0,0.0,2006.0,2448.0,1.0,1.2,0.1390909090909091,2448.0,0.0,1.0,0.0,1695.75,209.95,0.0,0.0,0.0,1905.6999999999998,11.999950700711162,59.99975350355581,,0.05263159280919675,0.05263161074779506,9279.244297227022,46396.22148613512,64.99863432901782,69.99999307926214,0.0,2.5714288256597833,2.7692889528856037,-0.19786012722582047,7.97116071227455e-05,89.25002350619539,1695.7499764938045,11.05000667649957,209.94999332350042,100.30003018269497,1905.699969817305,15245.59975853844,122.4000435356941,0.06800002418649671,979.2003482855528,2937.6010448566585,2325.5999564643057,18604.799651714446,55814.39895514333,2448.0,19584.0,58751.99999999999,0.17485714285714285,35.99985210213349,179.99926051066743,17.28806617262063,5201.980676742833,3212.9876463349715,1988.9930304078607,41615.84541394266,25703.901170679772,15911.944243262886,714.0001880495631,88.40005341199657,802.4002414615597,2142.0005641486896,265.2001602359897,16048.0,-0.0714479892102447,3638.9193322458914
9,9,2025,1SB,1,SB,AM-Early,1,OP,AM,3.0,65,14000,1,6,70,1800,1,6,0.2,0.0,7354.0,909.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,0.11992005329780146,0.11992005329780146,30,0.0382,0.715,7354.0,909.0,0.0,0.0,0.0,8263.0,10081.0,1.0,1.2,0.5727840909090909,10081.0,0.0,1.0,0.0,6986.299999999999,863.55,0.0,0.0,0.0,7849.849999999999,39.99999997364356,199.9999998682178,,0.041917793111773835,0.025906492913009987,12047.29386653559,60236.469332677945,58.44932104997607,69.99552290399937,2.373019818031691,2.571593046699209,3.0795909476192915,-0.5079979009200826,0.4251934443922749,292.8502780167855,7061.1497219832145,22.371551955029773,886.6284480449702,315.2218299718153,7947.778170028185,7947.778170028185,359.96493388187486,0.19998051882326381,359.96493388187486,1079.8948016456245,9721.035066118126,9721.035066118126,29163.105198354377,10081.0,10081.0,30243.0,0.7200714285714286,119.99999992093069,599.9999996046533,51.35533126769218,48564.96450303214,35142.0333388588,13422.931164173346,48564.96450303214,35142.0333388588,13422.931164173346,292.8502780167855,22.371551955029773,315.2218299718153,878.5508340503566,67.11465586508932,8263.0,-0.16495629113106577,4724.428967268859
