,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT MediumA,AADT MediumB,AADT HeavyA,AADT HeavyB,GrowthFactor,GrowthFactor_medium,GrowthFactor_heavy,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,Min Speed,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Max VC,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,CaptureRateLights,CaptureRateMediumA,VOT Lights,VOT MediumA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay,TransactionsLightsLength,TransactionsMediumALength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,0,2025,1NB,1,NB,Night,8,OP,NT,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,1830.0,226.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.13729977116704806,0.13729977116704806,30,4.009,0.708,1830.0,226.0,0.0,0.0,0.0,2056.0,2508.0,1.0,1.2,0.16076923076923078,2508.0,0.0,1.0,0.0,1738.5,214.7,0.0,0.0,0.0,1953.1999999999998,0.200000006215294,1.00000003107647,,0.07277710158436433,0.07275724106728128,154.4237691625831,772.1188458129155,64.99647553726987,69.99994408275357,0.0,2.5714306255331425,2.769380931998159,-0.19795030646501655,0.0002057229913241969,126.52299110441739,1703.4770088955827,15.62097965714529,210.37902034285472,142.14397076156268,1913.8560292384375,15310.8482339075,173.38593007585325,0.09632551670880736,1387.087440606826,4161.262321820478,2334.614069924147,18676.912559393175,56030.737678179525,2508.0,20064.0,60192.0,0.209,0.600000018645882,3.00000009322941,0.2879163916034207,122.77673744955378,75.9137970217832,46.86294042777058,982.2138995964302,607.3103761742656,374.90352342216465,1012.1839288353391,124.96783725716232,1137.1517660925015,3036.5517865060174,374.90351177148693,16448.0,-0.07147817917638069,60.621277062980354
1,1,2025,1NB,1,NB,AM-Early,1,OP,AM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,3467.0,429.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.13729977116704806,0.13729977116704806,30,3.82,0.715,3467.0,429.0,0.0,0.0,0.0,3896.0,4754.0,1.0,1.2,0.3047435897435897,4754.0,0.0,1.0,0.0,3293.6499999999996,407.54999999999995,0.0,0.0,0.0,3701.2,1.1790811996753032,5.895405998376516,,0.059340871690209664,0.05939544875261594,139.28189098969253,696.4094549484626,64.82308754609639,69.9992362922168,1.0795250837898092,2.5714566263062806,2.776788437792323,-0.20533181148604251,0.010354005929329002,195.44806204245904,3271.5519379575408,24.206615139128623,404.79338486087136,219.65467718158766,3676.345322818412,3676.345322818412,268.06790745984495,0.1489266152554694,268.06790745984495,804.2037223795348,4485.932092540155,4485.932092540155,13457.796277620466,4754.0,4754.0,14262.0,0.39616666666666667,3.53724359902591,17.686217995129546,1.6988345722789182,1119.470878676539,691.3474064017072,428.12347227483195,1119.470878676539,691.3474064017072,428.12347227483195,195.44806204245904,24.206615139128623,219.65467718158766,586.3441861273772,72.61984541738587,3896.0,-0.07394578884421275,344.5392677759875
2,2,2025,1NB,1,NB,AM-Peak,2,Peak,AM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,4855.0,600.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.13729977116704806,0.13729977116704806,30,3.82,0.715,4855.0,600.0,0.0,0.0,0.0,5455.0,6655.0,1.0,1.2,0.4266025641025641,6655.0,0.0,1.0,0.0,4612.25,570.0,0.0,0.0,0.0,5182.25,1.9999995776906465,9.999997888453233,,0.0706301388901367,0.07083613974963013,130.71128619785003,653.5564309892502,63.7772623563573,69.98360971699788,2.0180095598829766,2.5720308044682203,2.822322460224849,-0.2502916557566288,0.0727356166618894,325.76385809603295,4529.236141903967,40.37659965728918,559.6234003427109,366.14045775332215,5088.859542246678,10177.719084493356,446.89365706790045,0.24827425392661137,893.7873141358009,2681.3619424074027,6208.1063429321,12416.2126858642,37248.6380575926,6655.000000000001,13310.000000000002,39930.00000000001,0.5545833333333334,5.99999873307194,29.9999936653597,2.8822094570213603,3165.880469804265,1954.582735856825,1211.2977339474398,6331.76093960853,3909.16547171365,2422.5954678948797,651.5277161920659,80.75319931457835,732.2809155066443,1954.5831485761978,242.25959794373506,10910.0,-0.08868286997109769,479.4405722343409
3,3,2025,1NB,1,NB,AM-Shoulder,1,OP,AM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,4132.0,511.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.13729977116704806,0.13729977116704806,30,3.82,0.715,4132.0,511.0,0.0,0.0,0.0,4643.0,5665.0,1.0,1.2,0.3631410256410256,5665.0,0.0,1.0,0.0,3925.3999999999996,485.45,0.0,0.0,0.0,4410.849999999999,1.411759559575741,7.0587977978787055,,0.05877158761880281,0.05884953538303065,139.8172191104014,699.086095552007,64.49432545852717,69.9979349484251,1.2956836332586297,2.57150443270398,2.790943214310355,-0.21943878160637498,0.029746049759032417,230.70199003884852,3901.2980099611514,28.56850695169223,482.43149304830774,259.2704969905408,4383.729503009459,4383.729503009459,316.4075108939252,0.1757819504966251,316.4075108939252,949.2225326817755,5348.592489106075,5348.592489106075,16045.777467318225,5665.0,5665.0,16995.0,0.47208333333333335,4.235278678727223,21.17639339363612,2.0339956143526017,1582.065161429338,977.0872195514753,604.9779418778628,1582.065161429338,977.0872195514753,604.9779418778628,230.70199003884852,28.56850695169223,259.2704969905408,692.1059701165456,85.70552085507668,4643.0,-0.07862531221746785,386.0100432314999
4,4,2025,1NB,1,NB,MD,5,OP,MD,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,5636.0,697.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.13729977116704806,0.13729977116704806,30,3.823,0.708,5636.0,697.0,0.0,0.0,0.0,6333.0,7727.0,1.0,1.2,0.4953205128205128,7727.0,0.0,1.0,0.0,5354.2,662.15,0.0,0.0,0.0,6016.349999999999,1.9999993666473284,9.999996833236642,,0.06119362327900038,0.06135722824659464,136.85467646759935,684.2733823379968,61.91948148964464,69.98302200713212,1.7122537109799931,2.5720524041053245,2.9070010870504954,-0.3349486829451709,0.18874533541302474,327.6428977604238,5308.357102239576,40.62768868348264,656.3723113165173,368.27058644390644,5964.729413556093,29823.64706778047,449.52596381087176,0.24973664656159542,2247.629819054359,6742.889457163077,7277.474036189128,36387.37018094564,109162.11054283692,7727.0,38635.0,115905.0,0.6439166666666667,5.999998099941985,29.999990499709924,2.882560772595361,3184.6870385516804,1965.856764022029,1218.8302745296514,15923.435192758403,9829.283820110144,6094.151372648257,1638.214488802119,203.13844341741319,1841.352932219532,4914.643466406356,609.4153302522395,31665.0,-0.11522138207557978,358.2637225012853
5,5,2025,1NB,1,NB,PM-Shoulder,1,OP,PM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,7121.0,880.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.13729977116704806,0.13729977116704806,30,4.005,0.592,7121.0,880.0,0.0,0.0,0.0,8001.0,9761.0,1.0,1.2,0.6257051282051282,9761.0,0.0,1.0,0.0,6764.95,836.0,0.0,0.0,0.0,7600.95,1.9999993514720587,9.999996757360293,,0.09225421073535932,0.09268993769423746,120.41684803940778,602.0842401970389,55.70139440555492,69.19647352271114,1.2776114409359627,2.6012886327353337,3.231516947124203,-0.6302283143888694,0.6333320637140041,624.095122914169,6496.904877085831,77.48878791238252,802.5112120876174,701.5839108265516,7299.416089173448,7299.416089173448,856.5614866513165,0.47586749258406474,856.5614866513165,2569.6844599539495,8904.438513348683,8904.438513348683,26713.31554004605,9761.0,9761.0,29283.0,0.8134166666666667,5.999998054416176,29.99999027208088,2.8835858943193053,6069.232406822452,3744.569523255638,2324.662883566814,6069.232406822452,3744.569523255638,2324.662883566814,624.095122914169,77.48878791238252,701.5839108265516,1872.285368742507,232.46636373714756,8001.0,-0.19502553280734708,190.40712444772834
6,6,2025,1NB,1,NB,PM-Peak,3,Peak,PM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,6508.0,804.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.13729977116704806,0.13729977116704806,30,4.005,0.592,6508.0,804.0,0.0,0.0,0.0,7312.0,8920.0,1.0,1.2,0.5717948717948718,8920.0,0.0,1.0,0.0,6182.599999999999,763.8,0.0,0.0,0.0,6946.4,1.9999994398680447,9.999997199340223,,0.09409301678138908,0.09453497571655146,119.598771739931,597.993858699655,59.30052973511688,69.47112638254912,1.7495397156418728,2.591004484493508,3.0353860379329243,-0.44438155343941643,0.36463271812195264,581.7394855526161,5926.260514447384,72.20581445230201,731.794185547698,653.9453000049181,6658.054699995082,19974.164099985246,798.3569289095221,0.44353162717195677,2395.0707867285664,7185.212360185699,8121.643071090478,24364.929213271433,73094.7876398143,8920.0,26760.0,80280.0,0.7433333333333333,5.999998319604134,29.99999159802067,2.8833246259882537,5656.60976266037,3490.43593576307,2166.1738268973,16969.82928798111,10471.30780728921,6498.521480691899,1745.2184566578483,216.61744335690602,1961.8359000147543,5235.655369973545,649.852330070718,21936.0,-0.14640034179706415,270.0381360641752
7,7,2025,1NB,1,NB,PM-Late,3,OP,PM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,5882.0,727.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.13729977116704806,0.13729977116704806,30,4.005,0.592,5882.0,727.0,0.0,0.0,0.0,6609.0,8063.0,1.0,1.2,0.5168589743589743,8063.0,0.0,1.0,0.0,5587.9,690.65,0.0,0.0,0.0,6278.549999999999,1.9999601348247449,9.999800674123724,,0.06588759552773789,0.06613313526822785,134.08416534908793,670.4208267454397,61.18139271761411,69.96580050358862,1.6759266096834162,2.5726854935472026,2.942070979501878,-0.36938548595467546,0.2367910880714183,368.1732950494465,5513.826704950554,45.67484987300156,681.3251501269984,413.84814492244806,6195.151855077553,18585.45556523266,505.1978446684512,0.28066546926025066,1515.5935340053536,4546.780602016061,7557.802155331549,22673.40646599465,68020.21939798395,8063.000000000001,24189.000000000004,72567.00000000001,0.6719166666666667,5.999880404474235,29.99940202237117,2.882872188735013,3579.213922069507,2208.9957384178847,1370.2181836516227,10737.641766208522,6626.987215253654,4110.654550954868,1104.5198851483394,137.0245496190047,1241.5444347673442,3313.5596554450185,411.07364885701406,19827.0,-0.12555288044655405,324.8573987127602
8,8,2025,1SB,1,SB,Night,8,OP,NT,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,1785.0,221.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.13729977116704806,0.13729977116704806,30,4.009,0.708,1785.0,221.0,0.0,0.0,0.0,2006.0,2448.0,1.0,1.2,0.15692307692307692,2448.0,0.0,1.0,0.0,1695.75,209.95,0.0,0.0,0.0,1905.6999999999998,0.2000000063650584,1.000000031825292,,0.07272878988115121,0.07270948526566627,154.46098918077894,772.3049459038946,64.99695121016323,69.99995183587646,0.0,2.571430340724123,2.7693606645945934,-0.19793032387047038,0.0001779566484387138,123.32984544096216,1661.6701545590379,15.265356431526632,205.73464356847336,138.5952018724888,1867.4047981275112,14939.23838502009,169.12591473554204,0.09395884151974558,1353.0073178843363,4059.021953653009,2278.874085264458,18230.992682115662,54692.97804634699,2448.0,19584.0,58751.99999999999,0.204,0.6000000190951752,3.000000095475876,0.28811478500737003,119.79398037163548,73.9979096195823,45.796070752053176,958.3518429730839,591.9832769566584,366.3685660164254,986.6387635276973,122.12285145221306,1108.7616149799103,2959.9162905830917,366.36855435663915,16048.0,-0.07147148668678205,60.627397294396125
9,9,2025,1SB,1,SB,AM-Early,1,OP,AM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,7354.0,909.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.13729977116704806,0.13729977116704806,30,3.82,0.715,7354.0,909.0,0.0,0.0,0.0,8263.0,10081.0,1.0,1.2,0.6462179487179487,10081.0,0.0,1.0,0.0,6986.299999999999,863.55,0.0,0.0,0.0,7849.849999999999,1.9999998957954417,9.999999478977209,,0.09642787852762616,0.09684928580295486,115.78100885258584,578.9050442629292,54.28591968996077,68.73754294536683,1.1970314839295293,2.618656301739873,3.315776927572028,-0.697120625832155,0.7487682369275251,673.6740877575546,6680.325912242445,83.63420075514166,825.3657992448583,757.3082885126963,7505.691711487303,7505.691711487303,924.5766900229796,0.5136537166794332,924.5766900229796,2773.730070068939,9156.42330997702,9156.42330997702,27469.269929931063,10081.0,10081.0,30243.0,0.8400833333333333,5.999999687386325,29.999998436931627,2.883488933654634,6551.0702078738705,4042.044315945595,2509.0258919282755,6551.0702078738705,4042.044315945595,2509.0258919282755,673.6740877575546,83.63420075514166,757.3082885126963,2021.0222632726638,250.902602265425,8263.0,-0.21024352393410864,172.13662786764078
