,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT MediumA,AADT MediumB,AADT HeavyA,AADT HeavyB,GrowthFactor,GrowthFactor_medium,GrowthFactor_heavy,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,Min Speed,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Max VC,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,CaptureRateLights,CaptureRateMediumA,VOT Lights,VOT MediumA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay,TransactionsLightsLength,TransactionsMediumALength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,0,2025,1NB,1,NB,Night,8,OP,NT,3.0,70,10000,1,8,75,1800,1,4,0.05,0.01,2238.0,0.0,277.0,0.0,0.0,1.0,1.0,1.0,3.66,1.83,0.2033898305084746,0.2033898305084746,30,4.103,0.708,2238.0,0.0,277.0,0.0,0.0,2515.0,3069.0,1.0,1.2,0.22566176470588234,3069.0,0.0,1.0,67.14,1628.145,0.0,207.75,0.0,0.0,1886.25,0.117777617,0.588888085,,0.2033844961036346,0.203381965074718,108.71318289162674,543.5659144581336,69.997790088302,74.82065755061778,0.0,2.4057527144589197,2.5715097544212546,-0.16575703996233493,0.00011122069997617225,331.1394504086521,1839.720549591348,0.0,0.0,331.1394504086521,2116.7205495913477,16933.76439673078,331.1394504086521,0.18396636133814007,2649.115603269217,7947.346809807651,2670.7205495913477,21365.76439673078,64097.293190192344,3001.8599999999997,24014.879999999997,72044.64,0.30018599999999995,0.353332851,1.766664255,0.11777761699999999,117.00244609146218,117.00244609146218,0.0,936.0195687316974,936.0195687316974,0.0,2649.115603269217,0.0,2649.115603269217,7947.346809807651,0.0,20120.0,-0.0644590360496767,42.63262074181441
1,1,2025,1NB,1,NB,AM-Early,1,OP,AM,3.0,70,10000,1,8,75,1800,1,4,0.05,0.01,1841.0,0.0,228.0,0.0,0.0,1.0,1.0,1.0,3.66,1.83,0.2033898305084746,0.2033898305084746,30,4.155,0.715,1841.0,0.0,228.0,0.0,0.0,2069.0,2525.0,1.0,1.2,0.18566176470588236,2525.0,0.0,1.0,55.23,1339.3274999999999,0.0,171.0,0.0,0.0,1551.75,0.169543156,0.84771578,,0.11273955699810206,0.11273955699718524,151.660142469649,758.300712348245,69.99929376958669,74.98707997769749,0.0,2.4004135119481282,2.5714545148483547,-0.1710410029002265,3.554248510325258e-05,150.99518902537554,1634.7748109746244,0.0,0.0,150.99518902537554,1862.7748109746244,1862.7748109746244,150.99518902537554,0.08388621612520863,150.99518902537554,452.9855670761266,2318.7748109746244,2318.7748109746244,6956.324432923873,2469.77,2469.77,7409.3099999999995,0.246977,0.508629468,2.54314734,0.169543156,76.8006026645362,76.8006026645362,0.0,76.8006026645362,76.8006026645362,0.0,150.99518902537554,0.0,150.99518902537554,452.9855670761266,0.0,2069.0,-0.06651527449254269,59.47456567437216
2,2,2025,1NB,1,NB,AM-Peak,2,Peak,AM,3.0,70,10000,1,8,75,1800,1,4,0.05,0.01,4183.0,0.0,517.0,0.0,0.0,1.0,1.0,1.0,3.66,1.83,0.2033898305084746,0.2033898305084746,30,4.155,0.715,4183.0,0.0,517.0,0.0,0.0,4700.0,5734.0,1.0,1.2,0.42161764705882354,5734.0,0.0,1.0,125.49,3043.1325,0.0,387.75,0.0,0.0,3525.0,0.167837166,0.83918583,,0.12198621543837194,0.12198621952800479,146.65123412162157,733.2561706081077,69.52438356331628,74.5676130350819,1.9524589343001524,2.413916614379425,2.5890197190468136,-0.17510310466738854,0.024099872236991733,371.2202167525114,3686.2897832474887,0.0,0.0,371.2202167525114,4203.289783247488,8406.579566494976,371.2202167525114,0.20623345375139523,742.4404335050228,2227.3213005150683,5237.289783247488,10474.579566494976,31423.73869948493,5608.509999999999,11217.019999999999,33651.06,0.5608509999999999,0.5035114980000001,2.51755749,0.167837166,186.91364742494173,186.91364742494173,0.0,373.82729484988346,373.82729484988346,0.0,742.4404335050228,0.0,742.4404335050228,2227.3213005150683,0.0,9400.0,-0.06763297451123909,57.51028789083198
3,3,2025,1NB,1,NB,AM-Shoulder,1,OP,AM,3.0,70,10000,1,8,75,1800,1,4,0.05,0.01,4812.0,0.0,595.0,0.0,0.0,1.0,1.0,1.0,3.66,1.83,0.2033898305084746,0.2033898305084746,30,4.155,0.715,4812.0,0.0,595.0,0.0,0.0,5407.0,6597.0,1.0,1.2,0.4850735294117647,6597.0,0.0,1.0,144.35999999999999,3500.7300000000005,0.0,446.25,0.0,0.0,4055.25,0.174664118,0.8733205900000001,,0.13419620324297205,0.1341962169955898,140.65950217900019,703.2975108950009,68.63648420994465,73.99721434729122,1.3033442239921385,2.4325240022577845,2.6225119493215536,-0.1899879470637691,0.06998422771338583,469.78467457876957,4197.855325421231,0.0,0.0,469.78467457876957,4792.855325421231,4792.855325421231,469.78467457876957,0.2609914858770942,469.78467457876957,1409.3540237363086,5982.855325421231,5982.855325421231,17948.565976263693,6452.64,6452.64,19357.920000000002,0.6452640000000001,0.523992354,2.61996177,0.174664118,246.16357750565342,246.16357750565342,0.0,246.16357750565342,246.16357750565342,0.0,469.78467457876957,0.0,469.78467457876957,1409.3540237363086,0.0,5407.0,-0.07244502627067882,55.160589089804
4,4,2025,1NB,1,NB,MD,5,OP,MD,3.0,70,10000,1,8,75,1800,1,4,0.05,0.01,5111.0,0.0,632.0,0.0,0.0,1.0,1.0,1.0,3.66,1.83,0.2033898305084746,0.2033898305084746,30,4.136,0.708,5111.0,0.0,632.0,0.0,0.0,5743.0,7007.0,1.0,1.2,0.5152205882352942,7007.0,0.0,1.0,153.32999999999998,3718.2525,0.0,474.0,0.0,0.0,4307.25,0.415252552,2.07626276,,0.04042954798013967,0.040429551428365906,215.2869614486634,1076.434807243317,66.73945624079958,74.93930479814554,2.481450197162111,2.4019438195329283,2.6970552374677763,-0.29511141793484796,0.17210853247371122,150.32726785102426,4807.342732148976,0.0,0.0,150.32726785102426,5439.342732148976,27196.71366074488,150.32726785102426,0.0835151488061246,751.6363392551214,2254.9090177653643,6703.342732148976,33516.71366074488,100550.14098223463,6853.67,34268.35,102805.05,0.6853670000000001,1.2457576559999999,6.22878828,0.415252552,187.27134483097612,187.27134483097612,0.0,936.3567241548806,936.3567241548806,0.0,751.6363392551214,0.0,751.6363392551214,2254.9090177653643,0.0,28715.0,-0.10941986424123946,84.4262593916327
5,5,2025,1NB,1,NB,PM-Shoulder,1,OP,PM,3.0,70,10000,1,8,75,1800,1,4,0.05,0.01,6757.0,0.0,835.0,0.0,0.0,1.0,1.0,1.0,3.66,1.83,0.2033898305084746,0.2033898305084746,30,4.135,0.592,6757.0,0.0,835.0,0.0,0.0,7592.0,9262.0,1.0,1.2,0.6810294117647059,9262.0,0.0,1.0,202.70999999999998,4915.7175,0.0,626.25,0.0,0.0,5694.0,1.419297409,7.096487045,,0.047892780006470625,0.047892784818654284,167.5124306647642,837.5621533238211,48.58612346488081,74.73764424267407,3.16438852099808,2.4084248550240326,3.7047615072667455,-1.2963366522427129,1.5526661220982982,235.42737680145777,6318.862623198542,0.0,0.0,235.42737680145777,7153.862623198542,7153.862623198542,235.42737680145777,0.13079298711192097,235.42737680145777,706.2821304043733,8823.862623198542,8823.862623198542,26471.587869595627,9059.289999999999,9059.289999999999,27177.87,0.9059289999999999,4.257892226999999,21.289461135,1.4192974090000001,1002.4243977059269,1002.4243977059269,0.0,1002.4243977059269,1002.4243977059269,0.0,235.42737680145777,0.0,235.42737680145777,706.2821304043733,0.0,7592.0,-0.34991095909952613,65.6911492802997
6,6,2025,1NB,1,NB,PM-Peak,3,Peak,PM,3.0,70,10000,1,8,75,1800,1,4,0.05,0.01,6670.0,0.0,824.0,0.0,0.0,1.0,1.0,1.0,3.66,1.83,0.2033898305084746,0.2033898305084746,30,4.135,0.592,6670.0,0.0,824.0,0.0,0.0,7494.0,9142.0,1.0,1.2,0.6722058823529412,9142.0,0.0,1.0,200.1,4852.424999999999,0.0,618.0,0.0,0.0,5620.5,1.202351064,6.01175532,,0.05568983125890919,0.05568985011729802,160.3689705845707,801.8448529228535,50.58608972232,74.65201148364874,4.694115580221315,2.411187541000499,3.5582904507556545,-1.1471029097551555,1.352000774678104,270.2307294465124,6199.669270553487,0.0,0.0,270.2307294465124,7023.669270553487,21071.00781166046,270.2307294465124,0.15012818302584022,810.6921883395371,2432.0765650186113,8671.669270553488,26015.007811660464,78045.02343498138,8941.9,26825.7,80477.09999999999,0.8941899999999999,3.6070531919999995,18.03526596,1.202351064,974.7366152265307,974.7366152265307,0.0,2924.209845679592,2924.209845679592,0.0,810.6921883395371,0.0,810.6921883395371,2432.0765650186113,0.0,22482.0,-0.32237472618671464,62.88979238610616
7,7,2025,1NB,1,NB,PM-Late,3,OP,PM,3.0,70,10000,1,8,75,1800,1,4,0.05,0.01,6393.0,0.0,790.0,0.0,0.0,1.0,1.0,1.0,3.66,1.83,0.2033898305084746,0.2033898305084746,30,4.135,0.592,6393.0,0.0,790.0,0.0,0.0,7183.0,8763.0,1.0,1.2,0.6443382352941176,8763.0,0.0,1.0,191.79,4650.9075,0.0,592.5,0.0,0.0,5387.25,0.187399184,0.93699592,,0.1866724109661093,0.18667246950746613,105.84896539100156,529.2448269550079,60.821202822837684,66.94891800558815,0.9628762210071338,2.688617013720455,2.9594942494693974,-0.2708772357489426,0.5316499789159314,868.19611620536,5333.01388379464,0.0,0.0,868.19611620536,6123.01388379464,18369.04165138392,868.19611620536,0.48233117566964445,2604.58834861608,7813.76504584824,7703.01388379464,23109.04165138392,69327.12495415176,8571.21,25713.629999999997,77140.89,0.8571209999999999,0.562197552,2.8109877599999997,0.187399184,488.0977311865609,488.0977311865609,0.0,1464.2931935596828,1464.2931935596828,0.0,2604.58834861608,0.0,2604.58834861608,7813.76504584824,0.0,21549.0,-0.09152821830875588,41.50939819254963
8,8,2025,1SB,1,SB,Night,8,OP,NT,3.0,70,12000,1,8,75,1800,1,4,0.05,0.01,1637.0,0.0,202.0,0.0,0.0,1.0,1.0,1.0,3.66,1.83,0.17391304347826086,0.17391304347826086,30,4.103,0.708,1637.0,0.0,202.0,0.0,0.0,1839.0,2243.0,1.0,1.2,0.1437820512820513,2243.0,0.0,1.0,49.11,1190.9175,0.0,151.5,0.0,0.0,1379.25,0.147646003,0.738230015,,0.1350905531240559,0.13509055309977427,132.11503878604333,660.5751939302166,69.99994249694497,74.98611009249055,0.0,2.4004445593721497,2.57143068378743,-0.17098612441528038,2.893931636939462e-06,160.88170380011786,1427.0082961998821,0.0,0.0,160.88170380011786,1629.0082961998821,13032.066369599057,160.88170380011786,0.08937872433339882,1287.053630400943,3861.1608912028287,2033.0082961998821,16264.066369599057,48792.19910879717,2193.89,17551.12,52653.36,0.18282416666666665,0.442938009,2.2146900449999998,0.147646003,71.26062156575195,71.26062156575195,0.0,570.0849725260156,570.0849725260156,0.0,1287.053630400943,0.0,1287.053630400943,3861.1608912028287,0.0,14712.0,-0.06649454931580615,51.809819131781694
9,9,2025,1SB,1,SB,AM-Early,1,OP,AM,3.0,70,12000,1,8,75,1800,1,4,0.05,0.01,4573.0,0.0,565.0,0.0,0.0,1.0,1.0,1.0,3.66,1.83,0.17391304347826086,0.17391304347826086,30,4.155,0.715,4573.0,0.0,565.0,0.0,0.0,5138.0,6268.0,1.0,1.2,0.4017948717948718,6268.0,0.0,1.0,137.19,3326.8575,0.0,423.75,0.0,0.0,3853.5,0.795369856,3.9768492799999997,,0.010000531047947736,0.010000535907589111,658.1847079404903,3290.9235397024518,69.63026624373214,74.99396843886399,2.039330952056067,2.4001930254796187,2.585082747923615,-0.18488972244399626,0.018706221798209837,33.27034172084779,4402.539658279153,0.0,0.0,33.27034172084779,4967.539658279153,4967.539658279153,33.27034172084779,0.01848352317824877,33.27034172084779,99.81102516254336,6097.539658279153,6097.539658279153,18292.61897483746,6130.81,6130.81,18392.430000000004,0.5109008333333334,2.386109568,11.93054784,0.795369856,79.3866807107445,79.3866807107445,0.0,79.3866807107445,79.3866807107445,0.0,33.27034172084779,0.0,33.27034172084779,99.81102516254336,0.0,5138.0,-0.0715217811083622,258.1116501727413
