,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT MediumA,AADT MediumB,AADT HeavyA,AADT HeavyB,GrowthFactor,GrowthFactor_medium,GrowthFactor_heavy,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,Min Speed,B1,B2,TotalLights,TotalMediumA,TotalMediumB,TotalHeavyA,TotalHeavyB,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Max VC,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeMediumA,InScopeMediumB,InScopeHeavyA,InScopeHeavyB,InScopeVeh,TollLights,TollMediumA,TollMediumB,CaptureRateLights,CaptureRateMediumA,VOT Lights,VOT MediumA,Speed GP Real,Speed ML Real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_MediumA,GPVeh_MediumA,MLVeh,GPVeh,GPVehDay,ML PCE,ML V/C,ML Volume,ML PCE Total,GP PCE,GP Volume,GP PCE Total,Highway PCE,Highway Volume,Highway PCE Total,Highway V/C,TollLightsPerSeg,TollMediumAPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourMediumA,RevenuePerDay,RevenuePerDayLights,RevenuePerDayMediumA,TransactionsDay_Lights,TransactionsDay_MediumA,TransactionsDay,TransactionsLightsLength,TransactionsMediumALength,TotalVeh_hours,Difference in Travel Time,Implied Min VOT
0,0,2025,1NB,1,NB,Night,8,OP,NT,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,1830.0,226.0,0.0,0.0,0.0,1.0,1.0,1.0,1.3,0.65,0.13729977116704806,0.13729977116704806,30,4.009,0.708,1830.0,226.0,0.0,0.0,0.0,2056.0,2508.0,1.0,1.2,0.16076923076923078,2508.0,0.0,1.0,366.0,1390.8,214.7,0.0,0.0,0.0,1953.1999999999998,0.20000094127006668,1.0000047063503334,,0.07125458286536807,0.07124591129276144,155.63266400264172,778.1633200132086,64.99621039875962,69.96338053248536,0.0,2.5727744804501333,2.769392229111178,-0.19661774866104453,0.0002212000361595388,99.1008738491539,1364.899126150846,15.29649715455588,210.70350284544412,114.39737100370978,1575.6026289962902,12604.821031970321,144.99036531282155,0.08055020295156753,1159.9229225025724,3479.7687675077173,1997.0096346871785,15976.077077497428,47928.23123249228,2142.0,17136.0,51408.0,0.1785,0.6000028238102,3.0000141190510003,0.30697241455495056,105.35051158724184,59.46080415155074,45.88970743569109,842.8040926979347,475.6864332124059,367.11765948552875,792.8069907932312,122.37197723644704,915.1789680296782,2378.4209723796935,367.1159317093411,16448.0,-0.07099671422279825,61.03241725593793
1,1,2025,1NB,1,NB,AM-Early,1,OP,AM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,3467.0,429.0,0.0,0.0,0.0,1.0,1.0,1.0,1.3,0.65,0.13729977116704806,0.13729977116704806,30,3.82,0.715,3467.0,429.0,0.0,0.0,0.0,3896.0,4754.0,1.0,1.2,0.3047435897435897,4754.0,0.0,1.0,693.4000000000001,2634.9199999999996,407.54999999999995,0.0,0.0,0.0,3701.2,0.20000140524508478,1.000007026225424,,0.034494134782590724,0.03449140482312745,167.4525814878709,837.2629074393545,64.78875132341489,69.35025239865357,-0.3555179519669118,2.5955204743205043,2.77826005785278,-0.1827395835322756,0.012370125412154303,90.88928562134394,2682.710714378656,14.056972035665591,414.9430279643344,104.94625765700954,3097.6537423429904,3097.6537423429904,133.0602017283407,0.07392233429352262,133.0602017283407,399.1806051850221,3927.5397982716595,3927.5397982716595,11782.619394814978,4060.6000000000004,4060.6000000000004,12181.8,0.33838333333333337,0.6000042157352543,3.000021078676272,0.3071577431037392,96.70516694733168,54.533954537972,42.171212409359676,96.70516694733168,54.533954537972,42.171212409359676,90.88928562134394,14.056972035665591,104.94625765700954,272.6678568640318,42.17091610699677,3896.0,-0.06577483019120559,65.66767901485133
2,2,2025,1NB,1,NB,AM-Peak,2,Peak,AM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,4855.0,600.0,0.0,0.0,0.0,1.0,1.0,1.0,1.3,0.65,0.13729977116704806,0.13729977116704806,30,3.82,0.715,4855.0,600.0,0.0,0.0,0.0,5455.0,6655.0,1.0,1.2,0.4266025641025641,6655.0,0.0,1.0,971.0,3689.7999999999997,570.0,0.0,0.0,0.0,5182.25,1.299957220450412,6.4997861022520595,,0.1372997686216581,0.13729975007807618,-119.19163900800667,-595.9581950400333,64.08216373372258,40.200284826749204,-3.438958115532332,4.477580215556789,2.808893918562816,1.668686296993973,0.054338514584903866,506.608686260194,3377.391313739806,78.26085754450342,521.7391424554966,584.8695438046974,3899.1304561953025,7798.260912390605,741.3912588937043,0.4118840327187246,1482.7825177874086,4448.347553362226,4942.608741106295,9885.21748221259,29655.652446637774,5684.0,11368.0,34104.0,0.4736666666666667,3.899871661351236,19.49935830675618,1.9957415567781758,3501.7453615947848,1975.70885894051,1526.0365026542747,7003.4907231895695,3951.41771788102,3052.0730053085495,1013.217372520388,156.52171508900685,1169.7390876093948,3039.6521175611642,469.5651452670205,10910.0,0.5940723805788167,-46.74181921882614
3,3,2025,1NB,1,NB,AM-Shoulder,1,OP,AM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,4132.0,511.0,0.0,0.0,0.0,1.0,1.0,1.0,1.3,0.65,0.13729977116704806,0.13729977116704806,30,3.82,0.715,4132.0,511.0,0.0,0.0,0.0,4643.0,5665.0,1.0,1.2,0.3631410256410256,5665.0,0.0,1.0,826.4000000000001,3140.3199999999997,485.45,0.0,0.0,0.0,4410.849999999999,1.2999480515660538,6.499740257830268,,0.13729976883501382,0.13729975233673308,-388.51648605763774,-1942.5824302881886,64.64772482675983,54.60754739928696,-1.8731732267762868,3.2962476538975705,2.784320724083581,0.5119269298139897,0.020673238148351345,431.1652100679706,2874.434789932029,66.65216477186708,444.3478352281329,497.81737483983767,3318.782625160162,3318.782625160162,631.1217043835718,0.3506231691019843,631.1217043835718,1893.3651131507154,4207.478295616428,4207.478295616428,12622.434886849285,4838.6,4838.6,14515.800000000001,0.4032166666666667,3.8998441546981613,19.499220773490805,1.996141925921879,2981.1424001105024,1681.47712419278,1299.6652759177225,2981.1424001105024,1681.47712419278,1299.6652759177225,431.1652100679706,66.65216477186708,497.81737483983767,1293.4956302039118,199.95649431560122,4643.0,0.18386061827790443,-152.35940629711283
4,4,2025,1NB,1,NB,MD,5,OP,MD,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,5636.0,697.0,0.0,0.0,0.0,1.0,1.0,1.0,1.3,0.65,0.13729977116704806,0.13729977116704806,30,3.823,0.708,5636.0,697.0,0.0,0.0,0.0,6333.0,7727.0,1.0,1.2,0.4953205128205128,7727.0,0.0,1.0,1127.2,4283.36,662.15,0.0,0.0,0.0,6016.349999999999,1.29996347688424,6.499817384421201,,0.13729976940157268,0.13729974950517979,-45.486181301862814,-227.4309065093141,62.79641606382024,24.865177619002502,-2.5549865115166868,7.239039381019348,2.8664056212549665,4.372633759764382,0.13312954727314957,588.1043402639203,3920.6956597360795,90.9130291348548,606.0869708651452,679.0173693987751,4526.782630601225,22633.913153006124,860.8434276684848,0.4782463487047138,4304.217138342424,12912.65141502727,5738.956572331515,28694.78286165758,86084.34858497273,6599.8,32999.0,98997.0,0.5499833333333334,3.8998904306527202,19.499452153263604,1.9961672723946133,4066.2967505439556,2293.5424888205944,1772.7542617233612,20331.483752719778,11467.712444102972,8863.771308616806,2940.5217013196016,454.565145674274,3395.0868469938755,8821.565103958805,1363.695437022822,31665.0,1.5254762715159482,-17.83771815759326
5,5,2025,1NB,1,NB,PM-Shoulder,1,OP,PM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,7121.0,880.0,0.0,0.0,0.0,1.0,1.0,1.0,1.3,0.65,0.13729977116704806,0.13729977116704806,30,4.005,0.592,7121.0,880.0,0.0,0.0,0.0,8001.0,9761.0,1.0,1.2,0.6257051282051282,9761.0,0.0,1.0,1424.2,5411.96,836.0,0.0,0.0,0.0,7600.95,1.2999716840852884,6.499858420426442,,0.13729976968938395,0.13729974714992066,-10.818159327912754,-54.09079663956377,56.88801642787199,8.352876331780697,-3.228186457421823,21.549463065213,3.1641110255306764,18.385352039682324,0.5409859511308723,743.0608615681584,4953.739138431842,114.78258861733367,765.2174113826663,857.8434501854921,5718.9565498145075,5718.9565498145075,1087.4086274201595,0.6041159041223109,1087.4086274201595,3262.2258822604786,7249.391372579841,7249.391372579841,21748.174117739523,8336.800000000001,8336.800000000001,25010.4,0.6947333333333334,3.8999150522558654,19.499575261279325,1.995735532355177,5136.085964200034,2897.874238771873,2238.2117254281616,5136.085964200034,2897.874238771873,2238.2117254281616,743.0608615681584,114.78258861733367,857.8434501854921,2229.182584704475,344.34776585200103,8001.0,5.810590049253655,-4.242415422710884
6,6,2025,1NB,1,NB,PM-Peak,3,Peak,PM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,6508.0,804.0,0.0,0.0,0.0,1.0,1.0,1.0,1.3,0.65,0.13729977116704806,0.13729977116704806,30,4.005,0.592,6508.0,804.0,0.0,0.0,0.0,7312.0,8920.0,1.0,1.2,0.5717948717948718,8920.0,0.0,1.0,1301.6000000000001,4946.079999999999,763.8,0.0,0.0,0.0,6946.4,1.2999687377678473,6.499843688839237,,0.13729976959114207,0.1372997480446491,-18.714646819586,-93.57323409793003,60.01575456470443,13.209074012341306,-4.609833042109145,13.626996096155194,2.999212478549073,10.627783617606122,0.3150749417660753,679.0956443793558,4527.304355620644,104.86954755650297,699.130452443497,783.9651919358588,5226.434808064141,15679.304424192424,993.7042870488647,0.5520579372493692,2981.112861146594,8943.338583439781,6624.695712951135,19874.087138853403,59622.26141656021,7618.4,22855.199999999997,68565.59999999999,0.6348666666666667,3.8999062133035416,19.49953106651771,1.9955462188581872,4693.316323452108,2648.409322942422,2044.9070005096862,14079.948970356323,7945.2279688272665,6134.721001529058,2037.2869331380675,314.60864266950887,2351.8955758075763,6111.860799414202,943.8259280085266,21936.0,3.543524739783531,-7.339077184151373
7,7,2025,1NB,1,NB,PM-Late,3,OP,PM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,5882.0,727.0,0.0,0.0,0.0,1.0,1.0,1.0,1.3,0.65,0.13729977116704806,0.13729977116704806,30,4.005,0.592,5882.0,727.0,0.0,0.0,0.0,6609.0,8063.0,1.0,1.2,0.5168589743589743,8063.0,0.0,1.0,1176.4,4470.32,690.65,0.0,0.0,0.0,6278.549999999999,1.299965060546013,6.4998253027300645,,0.137299769455486,0.13729974905486325,-34.861555395132456,-174.3077769756623,62.18298248258417,20.930343061761484,-2.6665065027025143,8.599954595529278,2.8946826416763347,5.705271953852943,0.17186906525042472,613.7739053922481,4091.826094607752,94.82607168474131,632.1739283152586,708.5999770769895,4724.000022923011,14172.000068769034,898.2521204464721,0.4990289558035956,2694.7563613394163,8084.2690840182495,5988.347879553528,17965.043638660587,53895.13091598176,6886.6,20659.800000000003,61979.40000000001,0.5738833333333334,3.8998951816380387,19.499475908190192,1.995819330976518,4242.712596539319,2393.65389625439,1849.0587002849293,12728.137789617957,7180.96168876317,5547.176100854787,1841.3217161767443,284.47821505422394,2125.7999312309685,5523.965148530233,853.4346451626718,19827.0,1.9709490331378685,-13.671198194169591
8,8,2025,1SB,1,SB,Night,8,OP,NT,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,1785.0,221.0,0.0,0.0,0.0,1.0,1.0,1.0,1.3,0.65,0.13729977116704806,0.13729977116704806,30,4.009,0.708,1785.0,221.0,0.0,0.0,0.0,2006.0,2448.0,1.0,1.2,0.15692307692307692,2448.0,0.0,1.0,357.0,1356.6,209.95,0.0,0.0,0.0,1905.6999999999998,0.2000000076523367,1.0000000382616834,,0.07141007183536419,0.07140158409106886,155.5062566639668,777.5312833198341,64.99672559430388,69.96829910867699,0.0,2.5725936215830867,2.769370277566331,-0.19677665598324445,0.00019112641971977612,96.87490345185505,1331.125096548145,14.990762579919908,206.0092374200801,111.86566603177495,1537.134333968225,12297.0746717458,141.84719119161477,0.07880399510645265,1134.7775295329182,3404.3325885987542,1949.152808808385,15593.22247046708,46779.66741140124,2091.0,16728.0,50184.0,0.17425,0.60000002295701,3.00000011478505,0.30720547067069415,103.09723375554631,58.12494429507116,44.97228946047515,824.7778700443705,464.9995543605693,359.7783156838012,774.9992276148404,119.92610063935926,894.9253282541996,2324.997682844521,359.7783019180778,16048.0,-0.07105465729059819,60.98284575057522
9,9,2025,1SB,1,SB,AM-Early,1,OP,AM,3.0,65,12000,1,6,70,1800,1,6,0.2,0.01,7354.0,909.0,0.0,0.0,0.0,1.0,1.0,1.0,1.3,0.65,0.13729977116704806,0.13729977116704806,30,3.82,0.715,7354.0,909.0,0.0,0.0,0.0,8263.0,10081.0,1.0,1.2,0.6462179487179487,10081.0,0.0,1.0,1470.8000000000002,5589.04,863.55,0.0,0.0,0.0,7849.849999999999,1.2999726714103323,6.4998633570516615,,0.13729976972011265,0.1372997468302985,-8.89933726175457,-44.496686308772844,55.41135146919733,7.031815587359527,-3.3338131151860617,25.59794092489713,3.2484318686949982,22.349509056202134,0.6565055062659929,767.3739049564984,5115.8260950435015,118.56519637530425,790.4348036246957,885.9391013318027,5906.260898668197,5906.260898668197,1123.0694940824112,0.6239274967124506,1123.0694940824112,3369.2084822472334,7487.130505917588,7487.130505917588,22461.391517752767,8610.199999999999,8610.199999999999,25830.6,0.7175166666666666,3.8999180142309973,19.499590071154984,1.9958738449180562,5304.6680416150575,2992.6953155906335,2311.9727260244235,5304.6680416150575,2992.6953155906335,2311.9727260244235,767.3739049564984,118.56519637530425,885.9391013318027,2302.1217148694955,355.69558912591276,8263.0,6.880091674873472,-3.489936181080223
