,Year,Total Revenue,Var Total Revenue (%),Total Transactions,Var Total Transactions (%),AADT,Var AADT (%),Toll/AADT/mi,Var Toll/AADT/mi (%),Toll/AADT/mi Lights,Var Toll/AADT/mi Lights (%),Capture,Var Capture (%),GP Traffic,Var GP Traffic (%),Corridor PCE,Var Corridor PCE (%)
0,2024.9999999999995,257636710.12706,,64541875.85745,,24003.550672,,1.131009,,1.131009,,0.175474,,112789.039748,,167433.665758,
1,2026.0,271386289.103224,0.05336808938983517,66136710.302868,0.024710072712178732,24572.821992,0.02371612965843628,1.163769,0.02896528674838139,1.163769,0.02896528674838139,0.178181,0.015426786874408904,113322.066429,0.004725873029781225,168856.855348,0.008500020492037796
2,2026.9999999999995,285869656.839259,0.05336808938982984,67770953.223397,0.02471007271219139,25155.594224,0.02371612964069536,1.197477,0.02896451099831654,1.197477,0.02896451099831654,0.18093,0.01542813206795346,113857.612126,0.004725873026111271,170292.142078,0.008500020488016125
3,2027.999999999999,301125974.239298,0.05336808938983473,69445578.40532,0.024710072712166964,25752.187558,0.02371612964844272,1.232162,0.02896506571733748,1.232162,0.02896506571733748,0.183721,0.015425855303155878,114395.688745,0.00472587303521288,171739.628775,0.00850002049029941
4,2029.0,317196492.1501,0.05336808938982829,71161583.697256,0.024710072712196496,26362.929778,0.0237161296928452,1.267852,0.028965347089100257,1.267852,0.028965347089100257,0.186556,0.015431006798351854,114936.308245,0.004725873028354144,173199.419138,0.008500020486899462
5,2030.0,334124662.897308,0.05336808938983295,72919991.604728,0.024710072712164743,26988.156438,0.023716129628420735,1.304575,0.028964737209074887,1.304575,0.028964737209074887,0.189434,0.015427003151868623,115479.482644,0.004725873027365379,174671.617749,0.008500020486945203
6,2031.0000000000007,348867306.680262,0.04412318341039412,73937989.887637,0.013960482722312983,27310.66954,0.011950171651809782,1.346052,0.031793495966119245,1.346052,0.031793495966119245,0.190351,0.004840736087502684,116161.247688,0.005903776397247595,175937.246484,0.007245760652533129
7,2032.0000000000005,364260442.838805,0.04412318341039301,74970199.917986,0.013960482722314316,27637.036729,0.01195017165441481,1.388847,0.03179297679435855,1.388847,0.03179297679435855,0.191272,0.004838430058155652,116847.03772,0.0059037763940170684,177212.045661,0.007245760647481392
8,2033.0000000000007,380332773.167333,0.04412318341039412,76016820.098628,0.013960482722294332,27967.304062,0.011950171656914366,1.433002,0.03179255886357546,1.433002,0.03179255886357546,0.192198,0.004841273160734572,117536.876503,0.005903776393998639,178496.081729,0.007245760654759792
9,2034.0000000000002,397114265.874778,0.04412318341039123,77078051.60222,0.013960482722312095,28301.518146,0.011950171645400243,1.478562,0.031793395961764004,1.478562,0.031793395961764004,0.193129,0.004843962996493145,118230.78794,0.005903776394655891,179789.421614,0.007245760649041033
